,item_id,labels,en,es-CO,de,fr
690,ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,Wo wird Laura zuerst nach ihrem Buch suchen? ,Où Madison va-t-elle chercher le premier livre ?
691,chair,theory-of-mind,Behind the chair,Detrás de la silla,Hinter dem Stuhl,Derrière la chaise
692,rug,theory-of-mind,Under the rug,Debajo de la alfombra,Unter dem Teppich,Sous le tapis
693,ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,Et où est vraiment son livre ?
694,ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","Ce matin, quand il est venu à l'école, Ethan a mis son livre sur l'étagère au-dessus des crochets de manteau, le livre d'Ethan est bleu! "
695,ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","Et puis il est sorti pour jouer, voir? Voici Ethan jouer dehors. Et pendant qu’il était en dehors du jeu, le livre d’Ethan est tombé du haut des crochets sur le plancher sous les manteaux, voir ? "
696,ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","Puis Hannah entre et Hannah met son livre au-dessus des crochets de manteau. Le livre de Hannah est aussi bleu! Ethan est encore en dehors de jouer, donc il n'a pas vu ce que faisait Hannah."
697,ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","Maintenant, quand Ethan viendra de l'extérieur, où va-t-il chercher son livre en premier?"
698,shelf,theory-of-mind,On the shelf,Sobre la repisa,Oben im Regal,Sur l'étagère
699,coats,theory-of-mind,Under the coats,Debajo de los abrigos,Unter den Mänteln,Sous les manteaux
700,ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!","Voyons ce qu'il fait. Oh, regardez, voici Ethan pour atteindre ce livre sur l'étagère. Et maintenant, Hannah voit Ethan atteindre pour ce livre... le livre qui est celui d'Hannah!"
701,ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Hannah feels about Ethan reaching for that book? ,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",Que pensez-vous qu'Hannah se sent pour Ethan d'atteindre ce livre? 
702,ToM-scene2-q7-emotion_reasoning,theory-of-mind,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",Comment pensez-vous qu'Hannah se sentirait si elle n'avait pas vu Ethan atteindre le livre?
703,ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Hannah's book?,¿Elián está siendo malo y travieso al tomar el libro de Ana?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",Est-ce que Ethan est méchant et méchant pour avoir pris le livre d'Hannah?
704,ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Hannah's book?,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",Ethan doit-il se mettre en difficulté avec le professeur pour avoir pris le livre de Hannah?
705,ToM-scene2-q5-reality_check,theory-of-mind,Can you help Hannah find her book? Is it on the shelf or under the coats?,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?","Vous pouvez aider Hannah à trouver son livre, sur l'étagère ou sous les manteaux?"
706,ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or under the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",Pouvez-vous aider Ethan à trouver son livre ?
707,ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Joshua, Isabel et Ivan jouent à un jeu. Voici comment se déroule le jeu: un enfant se cache, mais dessine un indice dans le bac à sable pour que les autres enfants puissent les trouver. "
708,ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Ivan va donc en premier. Il dessine cet indice dans le bac à sable, puis il va se cacher. "
709,ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",C'est maintenant au tour de Josué de laisser un indice et de se cacher. Isabel et Ivan essaieront alors d'utiliser l'indice pour le trouver.
710,ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.","Josué décide de se cacher derrière la fontaine. Il essaye de dessiner la fontaine, avec la partie inférieure et l'eau qui en sorte. Mais le dessin ressemble à un arbre à la place ! Alors Joshua va et se cache derrière la fontaine."
711,ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?,¿Qué quería dibujar Johan?,Was wollte Johann zeichnen?,Que voulait dire Josué dessiner?
712,fountain,theory-of-mind,A fountain,Una fuente,Einen Springbrunnen,Une fontaine
713,tree,theory-of-mind,A tree,Un árbol,Einen Baum,Un arbre
714,ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ","Quand Isabel et Ivan verront cet indice, où chercheront-ils d'abord Josué? "
715,ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",Pouvez-vous les aider à trouver où se trouve Joshua ?
716,behind-fountain,theory-of-mind,Behind the fountain,Detrás de la fuente,Hinter dem Springbrunnen,Derrière la fontaine
717,behind-tree,theory-of-mind,Behind the tree,Detrás del árbol,Hinter dem Baum,Derrière l'arbre
718,ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","Regardez, Isabel et Ivan ont trouvé Joshua et gagné le jeu! Que pensez-vous d'Isabel pour gagner le jeu?"
719,ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ","Maintenant les jeux sont terminés, et il est presque temps de rentrer chez vous, la mère dit aux enfants de trouver tous leurs jouets. "
720,ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Joshua a amené son camion de jouets avec lui dans le parc, mais maintenant il ne peut pas le trouver. Il regarde partout, mais il ne le trouve pas. "
721,ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,How does Joshua feel about losing his truck?,How does Joshua feel about losing his truck?,Que pense Joshua de la perte de son camion?
722,ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?,¿Cómo se sentiría Johan si encontrara su camión?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",Comment Joshua se sentirait-il s'il trouvait son camion?
723,ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ","Joshua ne peut pas trouver son camion parce que plus tôt dans la journée, quand personne ne regardait, Isabel a pris le camion de jouets et l'a enterré dans le bac à sable. "
724,ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.",Joshua regarde donc partout et il ne peut pas trouver son camion de jouets.
725,ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ",Est-il juste que Mère soit fou à Joshua pour avoir perdu son camion ?
726,ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,Ist Mutter böse auf Lisa? ,La mère est-elle folle à Isabel? 
727,ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,Ist Johann böse auf Lisa? ,Josué est-il fou à Isabel? 
728,ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Quand Isabel voit que la mère est fou à Josué, Elle va au bac à sable et creuse le camion de jouets, et le renvoie à Joshua."
729,ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,Ist Mutter jetzt böse auf Johann?,La mère est-elle fou à Josué maintenant?
730,ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,Ist Mutter jetzt böse auf Lisa?,La mère est-elle fou à Isabel maintenant?
731,ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,Ist Johann jetzt böse auf Lisa?,Josué est-il fou à Isabel maintenant?
732,ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel dit à Joshua qu’elle est très désolée, et elle lui donne un gros câlin, Joshua lui redonne un gros câlin et Mère y rejoint."
733,ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ","C'est Katie. Plus tôt aujourd'hui, la mère de Katie nettoyait la maison, tandis que Katie regardait. Maman a laissé trois tasses dans la cuisine. Il y a une petite tasse sur le comptoir, une tasse de taille moyenne sur la table, et une grande tasse qu'elle a mise haut sur l'étagère. "
734,ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""",Katie et Papa viennent d'entrer et Katie demande à son père de lui donner une tasse. Katie lui dit : « Je veux la grosse tasse ! »
735,ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,Welche Tasse wird Papa Katie geben?,Quel gobelet papa donnera-t-il à Katie?
736,ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,¿Cuál taza quiere Carla?,Welche Tasse möchte Katie haben?,Quel gobelet veut Katie ?
737,small_cup,theory-of-mind,The small cup,La taza pequeña,Die kleine Tasse,La petite tasse
738,medium_cup,theory-of-mind,The medium sized cup,La taza mediana,Die mittelgroße Tasse,Le gobelet de taille moyenne
739,large_cup,theory-of-mind,The big cup,La taza grande,Die große Tasse,La grosse tasse
740,ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?,¿Cómo se siente Carla por no recibir la taza que quería?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",Que pense Katie de ne pas avoir la tasse voulue ?
741,ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?,¿Cómo se sentiría Carla si hubiera recibido la taza que quería?,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",Comment Katie se sentirait-elle si elle avait reçu la coupe qu'elle voulait?
742,ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam et Maria jouent ensemble, ils regardent dehors et voient un nouveau magasin de l'autre côté de la rue. Maria dit à Sam : « Je vais acheter de nouvelles chemises pour nous là-bas », et elle s’éloigne."
743,ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.","La mère rentre chez elle et elle dit à Sam qu'elle vient de marcher près de la boutique. « S'agit-il de vendre des chemises ? » demande Sam. « Non », dit ma mère, « Ils ne vendent que des chaussures », « Maria va probablement maintenant obtenir des chaussures dans le magasin », dit Sam."
744,ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?,Does Maria know that they are selling shoes in the shop?,Does Maria know that they are selling shoes in the shop?,Maria sait-elle qu'ils vendent des chaussures dans le magasin?
745,ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","Maria est arrivée à la boutique. « Je voudrais acheter des chemises », dit-elle. « Il ne nous reste plus que des chaussettes », dit le marchand. Comme Maria a aussi besoin de chaussettes, elle décide de se procurer des chaussettes."
746,ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?,Does Sam know that Maria bought some socks?,Does Sam know that Maria bought some socks?,Sam sait-il que Maria a acheté des chaussettes?
747,ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?,What does Sam think they are selling at the shop?,What does Sam think they are selling at the shop?,Qu'est-ce que Sam pense qu'ils vendent dans la boutique?
748,shoes,theory-of-mind,Shoes,Zapatos,Schuhe,Chaussures
749,socks,theory-of-mind,Socks,Medias,Socken,Socks
750,shirts,theory-of-mind,Shirts,Camisetas,T-Shirts,Chemise
751,ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".
""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""
""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""","A son retour, Maria rencontre son papa et lui dit : « Je viens d’acheter des chaussettes. Je vais les partager avec mon frère Sam. C’est une surprise.»
« C’est gentil de vous », dit papa. Puis il demande à Maria: « Sam saurait-il ce que vous l’avez acheté ? »"
752,ToM-scene6-q4,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,Que dit Maria papa?
753,ToM-scene6-instruct5,theory-of-mind,Then Dad asks: “What does Sam think they are selling at the shop?”,"Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".","Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""",Puis Papa demande : « Qu'est-ce que Sam pense qu'ils vendent dans la boutique? »
754,ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,Que dit Maria papa?
755,ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?,What does Sam think they are selling at the shop?,What does Sam think they are selling at the shop?,Qu'est-ce que Sam pense qu'ils vendent dans la boutique?
756,ToM-scene6-instruct6,theory-of-mind,Sam is very happy to get his new socks.,Sam está muy feliz por recibir sus medias nuevas.,Sam freut sich sehr über seine neuen Socken.,Sam est très heureux d'avoir ses nouvelles chaussettes.
757,hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imaginez que vous marchez jusqu'à l'école et que vous portez vos nouvelles chaussures. Vous aimez vraiment vos nouvelles chaussures et c'est le premier jour que vous les avez portées.
758,hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",Vous tombez dans une flaque de boue et vos nouvelles chaussures se bouillonnent.
759,hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,Do you think that the boy bumped you on purpose or by accident?,Do you think that the boy bumped you on purpose or by accident?,Pensez-vous que le garçon vous a caressé à dessein ou par accident?
760,hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do:,"Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
761,hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,clean up my shoes,clean up my shoes,nettoyer mes chaussures
762,hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,walk away from the boy,walk away from the boy,s'éloigner du garçon
763,hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,push the boy in the mud,push the boy in the mud,pousser le garçon dans la boue
764,hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imaginez que vous êtes sur le terrain de jeu, vous et d'autres enfants faites une course. Un garçon est debout sur le côté, rebondissant un basket-ball."
765,hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.",Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,"La prochaine chose que vous connaissez, le garçon a renversé le ballon et il a roulé sous vos pieds, vous faisant tomber. Vous dépeignez votre genou et quelqu'un d'autre gagne la course."
766,hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,Do you think that the boy made you fall on purpose or by accident?,Do you think that the boy made you fall on purpose or by accident?,Pensez-vous que le garçon vous a fait tomber à dessein ou par accident?
767,hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do:,"Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
768,hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,go to another area of the playground,go to another area of the playground,aller dans une autre zone du terrain de jeu
769,hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,say something mean to him,say something mean to him,lui dire quelque chose de significatif
770,hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,take care of my knee,take care of my knee,prendre soin de mon genou
771,hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. ,Imagine that you are working on an assignment at your desk. ,Imagine that you are working on an assignment at your desk. ,Imaginez que vous travaillez sur une tâche à votre bureau. 
772,hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Vous allez aiguiser votre crayon, et en revenant à votre bureau, un garçon marche juste devant vous. Le garçon passe votre bureau avant de vous y rendre. "
773,hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","La prochaine chose que vous connaissez, le garçon a fait tomber tous vos papiers de votre bureau, et ils sont tous sur le sol."
774,hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?,Do you think the boy knocked your papers onto the floor on purpose or by accident?,Do you think the boy knocked your papers onto the floor on purpose or by accident?,Pensez-vous que le garçon a fait tomber vos papiers sur le sol à dessein ou par accident?
775,hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do:,Now pick one of the three choices as the one you would do:,"Maintenant, choisissez l'un des trois choix comme celui que vous feriez :"
776,hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name,call him a name,call him a name,appelez lui un nom
777,hostile-attribution-scene3-q2-ans2,hostile-attribution,pick up the papers,pick up the papers,pick up the papers,ramasser les papiers
778,hostile-attribution-scene3-q2-ans3,hostile-attribution,do nothing,do nothing,do nothing,ne rien faire
779,hostile-attribution-scene1-by-accident,theory-of-mind,by accident,por accidente,aus Versehen,par accident
780,hostile-attribution-scene1-on-purpose,theory-of-mind,on purpose,a propósito,absichtlich,en fonction
781,hostile-attribution-scene2-by-accident,theory-of-mind,by accident,por accidente,aus Versehen,par accident
782,hostile-attribution-scene2-on-purpose,theory-of-mind,on purpose,a propósito,absichtlich,en fonction
783,hostile-attribution-scene3-by-accident,theory-of-mind,by accident,por accidente,aus Versehen,par accident
784,hostile-attribution-scene3-on-purpose,theory-of-mind,on purpose,a propósito,absichtlich,en fonction
