item_id,english,de,es-CO,fr-CA,labels,nl
hearts-and-flowers-encourage2,"If you make a mistake, just keep going!","Wenn du einen Fehler machst, mach einfach weiter!","Si cometes un error, ¡sigue adelante!","Si vous faites une erreur, continuez!",hearts-and-flowers,
hearts-and-flowers-end,Great job! You completed the game!,Gut gemacht! Dieses Spiel ist jetzt zu Ende.,"¡Bien hecho, has terminado el juego!",Bien joué! Vous avez complété le jeu!,hearts-and-flowers,
hearts-and-flowers-instruct1,This time the game will go faster. It won't tell you if you are right or wrong. Try to keep up!,"Jetzt spielen wir das Spiel schneller. Dir wird nicht gesagt, ob du richtig oder falsch liegst. Versuch hinterherzukommen!",Esta vez el juego irá más rápido. No te dirá si la respuesta es correcta o no. ¡Trata de seguir el ritmo!,"Cette fois, le jeu ira plus vite. Il ne vous dira pas si vous avez raison ou tort. Essayez de suivre!",hearts-and-flowers,
hearts-and-flowers-instruct2,"Try to answer as fast as you can without making mistakes. If you make a mistake, just keep going!","Versuche, so schnell wie möglich zu antworten, ohne Fehler zu machen. Wenn du einen Fehler machst, mach einfach weiter!","Intenta responder lo más rápido que puedas sin cometer errores. Si cometes un error, ¡sigue adelante!","Essayez de répondre aussi vite que possible sans vous tromper. Si vous faites une erreur, continuez!",hearts-and-flowers,
hearts-and-flowers-instruct3,"Now, we're going to play a game with hearts and flowers.",Jetzt werden wir ein Spiel mit Herzen und Blumen spielen.,"Ahora, vamos a jugar un juego con corazones y flores.","Maintenant, nous allons jouer à un jeu avec des cœurs et des fleurs.",hearts-and-flowers,
hearts-and-flowers-play-time,Time to play!,Jetzt geht das Spiel richtig los!,¡Hora de jugar!,C'est l'heure de jouer!,hearts-and-flowers,
hearts-and-flowers-practice-time,Time to practice!,Jetzt kannst du üben!,¡Es hora de practicar!,Temps de pratique!,hearts-and-flowers,
hearts-and-flowers-try-again,That's not quite right. Please try again.,Das stimmt nicht ganz. Versuch es noch einmal!,Eso no está del todo bien. ¡Inténtalo de nuevo!,That's not quite right. Please try again.,hearts-and-flowers,
hill,A hill,Einen Hügel,Una montaña,Une colline,theory-of-mind,
hillsbook,The book about hills,Das Buch über Hügel,El libro de las montañas,Le livre sur les collines,theory-of-mind,
hostile-attribution-scene1-by-accident,by accident,aus Versehen,por accidente,par accident,theory-of-mind,
hostile-attribution-scene1-instruct1,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.",Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,Imagine que tu marches jusqu'à l'école en portant tes nouvelles chaussures. Tu aimes vraiment tes nouvelles chaussures et c'est le premier jour que tu les portes.,hostile-attribution,
hostile-attribution-scene1-instruct2,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,"De repente, un chico te choca por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro","Soudain, un garçon te heurte par derrière. Tu trébuches et tombes dans une flaque de boue et tes nouvelles chaussures se salissent.",hostile-attribution,
hostile-attribution-scene1-on-purpose,on purpose,absichtlich,a propósito,exprès,theory-of-mind,
hostile-attribution-scene1-q1,Do you think that the boy bumped you on purpose or by accident?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?",¿Crees que el chico te golpeó a propósito o por accidente?,Penses-tu que le garçon t'a heurté exprès ou par accident?,hostile-attribution,
hostile-attribution-scene1-q2,Now pick one of the three choices as the one you would do:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,Ahora escoge cuál de estas tres opciones harías tú:,"Maintenant, choisis l'une des trois options que tu ferais :",hostile-attribution,
hostile-attribution-scene1-q2-ans1,clean up my shoes,meine Schuhe sauber machen,limpiar mis zapatos,nettoyer mes chaussures,hostile-attribution,
hostile-attribution-scene1-q2-ans2,walk away from the boy,sich von dem Jungen entfernen,alejarme del chico,m'éloigner du garçon,hostile-attribution,
hostile-attribution-scene1-q2-ans3,push the boy in the mud,den Jungen in den Schlamm stoßen,empujar al chico al barro,pousser le garçon dans la boue,hostile-attribution,
hostile-attribution-scene2-by-accident,by accident,aus Versehen,por accidente,par accident,theory-of-mind,
hostile-attribution-scene2-instruct1,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder rennen um die Wette. Ein Junge steht am Rand und spielt mit einem Basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Imagine que tu es dans la cour de récréation. Toi et d'autres enfants faites une course. Un garçon est debout sur le côté, en train de faire rebondir un ballon de basket.",hostile-attribution,
hostile-attribution-scene2-instruct2,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.",Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,"De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.","Puis le garçon fait rebondir le ballon et il roule sous tes pieds, te faisant tomber. Tu écorches ton genou et quelqu'un d'autre gagne la course.",hostile-attribution,
hostile-attribution-scene2-on-purpose,on purpose,absichtlich,a propósito,exprès,theory-of-mind,
hostile-attribution-scene2-q1,Do you think that the boy made you fall on purpose or by accident?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?",¿Crees que el chico te hizo caer a propósito o por accidente?,Penses-tu que le garçon t'a fait tomber exprès ou par accident?,hostile-attribution,
hostile-attribution-scene2-q2,Now pick one of the three choices as the one you would do:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,Ahora escoge cuál de estas tres opciones harías tú:,"Maintenant, choisissez une des trois options que vous feriez :",hostile-attribution,
hostile-attribution-scene2-q2-ans1,go to another area of the playground,in einen anderen Bereich des Spielplatzes gehen,ir a otra zona del patio de recreo,aller dans une autre zone de la cour,hostile-attribution,
hostile-attribution-scene2-q2-ans2,say something mean to him,etwas Gemeines zu ihm sagen,insultar al niño,lui dire quelque chose de méchant,hostile-attribution,
hostile-attribution-scene2-q2-ans3,take care of my knee,Mein Knie verarzten.,curar mi rodilla,soigner mon genou,hostile-attribution,
hostile-attribution-scene3-by-accident,by accident,aus Versehen,por accidente,par accident,theory-of-mind,
hostile-attribution-scene3-instruct1,Imagine that you are working on an assignment at your desk. ,"Stell dir vor, du arbeitest an deinem Schreibtisch an einer Aufgabe. ",Imagina que estás trabajando en una tarea en tu escritorio.,Imagine que tu travailles sur une tâche à ton bureau ,hostile-attribution,
hostile-attribution-scene3-instruct2,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Du gehst deinen Bleistift anspitzen, und als du zu deinem Schreibtisch zurückgehst, läuft ein Junge direkt vor dir. Der Junge geht an deinem Schreibtisch vorbei, bevor du selbst dort bist.","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.","Tu vas aiguiser ton crayon, et en revenant à ton bureau, un garçon marche juste devant toi. Le garçon passe devant ton bureau avant que tu y arrives ",hostile-attribution,
hostile-attribution-scene3-instruct3,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","Das nächste ist, dass der Junge alle deine Papiere von deinem Schreibtisch geworfen hat und sie überall auf dem Boden liegen.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.","Tout à coup, le garçon a fait tomber tous tes papiers de ton bureau, et ils sont éparpillés sur le sol.",hostile-attribution,
hostile-attribution-scene3-on-purpose,on purpose,absichtlich,a propósito,exprès,theory-of-mind,
hostile-attribution-scene3-q1,Do you think the boy knocked your papers onto the floor on purpose or by accident?,"Glaubst du, der Junge hat deine Papiere absichtlich oder aus Versehen auf den Boden geworfen?",¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,Penses-tu que le garçon a fait tomber tes papiers par terre exprès ou par accident?,hostile-attribution,
hostile-attribution-scene3-q2,Now pick one of the three choices as the one you would do:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,Ahora escoge cuál de estas tres opciones harías tú:,"Maintenant, choisissez une des trois options que vous feriez :",hostile-attribution,
hostile-attribution-scene3-q2-ans1,call him a name,ihn beleidigen,insultar al niño,l'insulter,hostile-attribution,
hostile-attribution-scene3-q2-ans2,pick up the papers,die Papiere aufsammeln,recoger los papeles,ramasser les papiers,hostile-attribution,
hostile-attribution-scene3-q2-ans3,do nothing,nichts tun,no hacer nada,ne rien faire,hostile-attribution,
inferenceInstructions,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Lisez chaque histoire attentivement. Pensez à ce qui s'est passé dans l'histoire et à ce que vous savez. Choisissez la meilleure réponse pour chaque question.,roar-inference,
inferenceInstructions2,Welcome to ROAR - Inference,Welcome to ROAR - Inference,Welcome to ROAR - Inference,Bienvenue à ROAR - Inférence,roar-inference,
instructions,instructions,Anweisungen,instrucciones,instructions,general,
intro-finished,You've finished the instructions. Thank you!,Das war die Spielanleitung. Vielen Dank!,Has terminado las instrucciones. ¡Gracias!,Tu as terminé les instructions. Merci !,general,
large_cup,The big cup,Die große Tasse,La taza grande,La grande tasse,theory-of-mind,
math-instructions1,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In diesem Spiel wirst du einige mathematische Aufgaben lösen. Einige sind wie die, die du in der Schule machst, und einige sind etwas anders als die, die du in der Schule machst. 

Einige Fragen könnten leicht für dich sein und einige könnten schwer sein. Das ist nicht schlimm! Bitte gib dein Bestes und nimm dir Zeit. Bei den meisten Fragen gibt es vier Auswahlmöglichkeiten. Du wählst die aus, die du für richtig hältst. Los geht's!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. <br><br>Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Elige la que consideres correcta. ¡Empecemos!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. <br><br>Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!",math,
math-instructions1-heavy,"In this game, you will play with numbers.

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Let’s get started!","In this game, you will play with numbers.

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Let’s get started!","In this game, you will play with numbers.<br><br>Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Let’s get started!","In this game, you will play with numbers.<br><br>Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Let’s get started!",math,
math-intro-fractions,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,"In diesem Teil musst du manchmal addieren und manchmal subtrahieren. Schau also genau, ob da ein Plus oder ein Minus steht. Die ersten paar sind wieder zum Üben.",En esta sección a veces tienes que sumar y a veces tienes que restar. Fíjate bien en el signo de suma o resta. Los primeros son para practicar.,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,math,
math-intro1,Here is the first section of the game. Let's start with some practice!,Hier kommt der erste Teil. Am Anfang üben wir erstmal nur.,Esta es la primera sección. ¡Empecemos a practicar!,Here is the first section. Let's start with some practice!,math,
math-intro1-heavy,It's time for the first number game! Let's practice.,It's time for the first number game! Let's practice.,It's time for the first number game! Let's practice.,It's time for the first number game! Let's practice.,math,
math-intro2,Here is another section. The first few are for practice.,Jetzt kommt der nächste Teil. Die ersten paar sind wieder zum Üben.,Esta es otra sección. Las primeras son para practicar.,Here is another section. The first few are for practice.,math,
math-intro2-heavy,It's time for the next number game! Let's practice.,It's time for the next number game! Let's practice.,It's time for the next number game! Let's practice.,It's time for the next number game! Let's practice.,math,
matrix-reasoning-instruct1,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!","Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Nous allons te montrer un puzzle, et ton travail est de choisir la meilleure pièce pour compléter le puzzle. Commençons !",matrix-reasoning,
matrix-reasoning-instruct2,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Vois ce grand puzzle ? Il manque une pièce ! Quelle pièce va dans le puzzle ?,matrix-reasoning,
matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,"Wähle das beste Muster, um die Lücke zu füllen.",Escoge el mejor patrón para llenar el espacio en blanco.,Choisis le meilleur motif pour remplir le vide.,matrix-reasoning,
medium_cup,The medium sized cup,Die mittelgroße Tasse,La taza mediana,La tasse de taille moyenne,theory-of-mind,
memory-game-backward-prompt,Choose the squares in the backward order.,Wähle die Quadrate in der umgekehrten Reihenfolge.,Escoge los cuadrados en orden inverso.,Choisissez les carrés dans l'ordre inverse.,memory-game,
memory-game-backward-try-again,That's not quite right. Please try again. Choose the squares in the backward order.,Das stimmt nicht ganz. Versuch es noch einmal! Wähle die Quadrate in der umgekehrten Reihenfolge.,Eso no está del todo bien. ¡Inténtalo de nuevo! Escoge los cuadrados en orden inverso.,That's not quite right. Please try again. Choose the squares in the backward order.,memory-game,
memory-game-display,Watch the squares light up.,"Beobachte, wie die Quadrate aufleuchten.",Observa se iluminan los cuadrados.,Regardez les carrés s'illuminer.,memory-game,
memory-game-forward-prompt,Choose the squares in the same order.,Wähle die Quadrate in der gleichen Reihenfolge.,Escoge los cuadrados en el mismo orden.,Choisissez les carrés dans le même ordre.,memory-game,
memory-game-forward-try-again,That's not quite right. Please try again. Choose the squares in the same order.,Das stimmt nicht ganz. Versuch es noch einmal! Wähle die Quadrate in der gleichen Reihenfolge.,Eso no está del todo bien. ¡Inténtalo de nuevo! Escoge los cuadrados en el mismo orden.,That's not quite right. Please try again. Choose the squares in the same order.,memory-game,
memory-game-input,Choose the squares in the same order.,Wähle die Quadrate in der gleichen Reihenfolge.,Escoge los cuadrados en el mismo orden.,Choisissez les carrés dans le même ordre.,memory-game,
memory-game-instruct1,This is the memory game. Here's how you play it.,Das ist ein Memory-Spiel. Ich erkläre dir jetzt wie das Memory-Spiel funktioniert.,Este es el juego de la memoria. Las reglas son las siguientes.,Ceci est le jeu de mémoire. Voici comment vous jouez.,memory-game,
memory-game-instruct1-heavy,This is the memory game. ,This is the memory game. ,This is the memory game. ,This is the memory game. ,memory-game,
memory-game-instruct2,You will see squares light up.,"Du wirst sehen, dass Quadrate aufleuchten.",Verás que los cuadrados se iluminan.,Vous verrez les carrés s'illuminer.,memory-game,
memory-game-instruct2-heavy,"In this game, we are going to see squares light up. Your job is to touch the squares that light up. ","In this game, we are going to see squares light up. Your job is to touch the squares that light up. ","In this game, we are going to see squares light up. Your job is to touch the squares that light up. ","In this game, we are going to see squares light up. Your job is to touch the squares that light up. ",memory-game,
memory-game-instruct3,You're going to choose the squares in the same order.,Du wählst die Quadrate in der gleichen Reihenfolge aus.,Vas a escoger los cuadrados en el mismo orden.,You're going to choose the squares in the same order.,memory-game,
memory-game-instruct3-heavy,Now we will see two squares light up. Your job is to touch the squares in the same order as they light up!,Now we will see two squares light up. Your job is to touch the squares in the same order as they light up!,Now we will see two squares light up. Your job is to touch the squares in the same order as they light up!,Now we will see two squares light up. Your job is to touch the squares in the same order as they light up!,memory-game,
memory-game-instruct4,Watch carefully! Try to remember the order.,"Pass gut auf! Versuche, dir die Reihenfolge zu merken.",¡Observa con atención! Intenta recordar el orden.,Regardez attentivement! Essayez de mémoriser l'ordre.,memory-game,
memory-game-instruct4-heavy,Watch the squares light up. I will touch the squares in the same order.,Watch the squares light up. I will touch the squares in the same order.,Watch the squares light up. I will touch the squares in the same order.,Watch the squares light up. I will touch the squares in the same order.,memory-game,
memory-game-instruct5,This time the game won't tell you if you're right or wrong. Let’s start playing the memory game!,"Dieses Mal wird dir das Spiel nicht sagen, ob du richtig oder falsch liegst. Los geht's mit dem Memory-Spiel!",Esta vez el juego no te dirá si la respuesta es correcta o no. ¡Empecemos a jugar al juego de memoria!,"Cette fois, le jeu ne vous dira pas si vous avez raison ou tort. Commençons à jouer au jeu de mémoire!",memory-game,
memory-game-instruct5-heavy,"OK, now you're going to play the rest of the memory game on your own. More squares will light up each time the longer you play, so watch carefully!","OK, now you're going to play the rest of the memory game on your own. More squares will light up each time the longer you play, so watch carefully!","OK, now you're going to play the rest of the memory game on your own. More squares will light up each time the longer you play, so watch carefully!","OK, now you're going to play the rest of the memory game on your own. More squares will light up each time the longer you play, so watch carefully!",memory-game,
memory-game-instruct6,Now let's play the memory game in reverse!,Jetzt spielen wir das Memory-Spiel umgekehrt!,Ahora vamos a jugar al juego de la memoria a la inversa.,Jouons maintenant au jeu de mémoire à l'envers!,memory-game,
memory-game-instruct6-heavy,"If you make a mistake, just keep going!","Wenn du einen Fehler machst, mach einfach weiter!","Si cometes un error, ¡sigue adelante!","Si vous faites une erreur, continuez!",memory-game,
memory-game-instruct7,Let’s start playing the memory game!,Los geht's mit dem Memory-Spiel!,¡Empecemos a jugar al juego de memoria!,Commençons à jouer au jeu de mémoire!,memory-game,
mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.",¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,Tu vois ces deux contours ? L'un va avec cette forme. Voyons lequel va avec la forme. EDIT EDIT.,mental-rotation,
mental-rotation-instruct-3D,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,"Maintenant, tu verras des images montrant des blocs avec trois côtés. Ta tâche est de choisir l'image correspondante.",mental-rotation,
mental-rotation-prompt1,Choose the matching picture.,Wähle das passende Bild aus.,Escoge la imagen que coincide.,Choisissez l'image correspondante.,mental-rotation,
mental-rotation-prompt2,Choose the picture that matches this one.,"Wähle das Bild aus, das hierzu passt.",Escoge la imagen que coincida con esta.,Choisis l'image qui correspond à celle-ci.,mental-rotation,
mental-rotation-test-instruct4,Now you try! Can you find the shape that goes with the outline?,"Jetzt bist du dran! Kannst du die Form finden, die zum Schatten passt?","¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?",À toi de jouer ! Peux-tu trouver la forme qui va avec le contour ?,mental-rotation,
mental-rotation-training-instruct2,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.",Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,Voyons si cette forme va avec le contour. Cette forme ne va pas avec le contour.,mental-rotation,
mental-rotation-training-instruct3,Let's see if this shape goes with the outline. This shape does go with the outline.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt zu dem Schatten.",Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,Voyons si cette forme va avec le contour. Cette forme va avec le contour.,mental-rotation,
missing-number-prompt1,What number goes in the blank?,Welche Zahl gehört in die Lücke?,¿Cuál número va en el espacio en blanco?,Quel nombre va dans l'espace vide ?,math,
missing-number-prompt2,What number goes here?,Welche Zahl gehört hierher?,¿Cuál número va aquí?,Quel nombre va ici ?,math,
missing-number-prompt3,What numbers go in the blanks?,Welche Zahlen gehören in die Lücken?,¿Cuál números van en los espacios en blanco?,What numbers go in the blanks?,math,
multiplication-prompt1,Multiply the numbers and choose the correct answer.,Multipliziere die Zahlen und wähle die richtige Antwort.,Multiplica los números y escoge la respuesta correcta.,Multiplie les chiffres et choisis la réponse correcte.,math,
multiplication-prompt2,Multiply the numbers.,Multipliziere die Zahlen. ,Multiplica los números.,Multiplie les chiffres.,math,
no,no,nein,no,non,theory-of-mind,
ns-number-comp-1,Which card has more apples?,Which card has more apples?,Which card has more apples?,Which card has more apples?,math,
ns-number-comp-2,Which card has more cars?,Which card has more cars?,Which card has more cars?,Which card has more cars?,math,
ns-number-identification-1,Choose the card that shows 1 apple.,Choose the card that shows 1 apple.,Choose the card that shows 1 apple.,Choose the card that shows 1 apple.,math,
ns-number-identification-10,Choose the card that shows 10 apples.,Choose the card that shows 10 apples.,Choose the card that shows 10 apples.,Choose the card that shows 10 apples.,math,
ns-number-identification-2,Choose the card that shows 2 cars.,Choose the card that shows 2 cars.,Choose the card that shows 2 cars.,Choose the card that shows 2 cars.,math,
ns-number-identification-5,Choose the card that shows 5 apples.,Choose the card that shows 5 apples.,Choose the card that shows 5 apples.,Choose the card that shows 5 apples.,math,
ns-number-identification-7,Choose the card that shows 7 cars.,Choose the card that shows 7 cars.,Choose the card that shows 7 cars.,Choose the card that shows 7 cars.,math,
number-comparison-prompt1,Which number is larger?,Welche Zahl ist größer?,¿Cuál número es mayor?,Quel nombre est plus grand ?,math,
number-comparison-prompt2,Which is larger?,Welche ist größer?,¿Cuál es mayor?,Lequel est plus grand ?,math,
number-identification-1,Choose the number 1.,Wähle die Zahl Eins.,Escoge el número 1.,Choisis le numéro 1.,math,
number-identification-10,Choose the 23.,Wähle die  Dreiundzwanzig.,Escoge el 23.,Choisis le 23.,math,
number-identification-11,Choose the 48.,Wähle die  Achtundvierzig.,Escoge el 48.,Choisis le 48.,math,
number-identification-12,Choose the 91.,Wähle die  91.,Escoge el 91.,Choisis le 91.,math,
number-identification-13,Choose the 33.,Wähle die  Dreiunddreißig.,Escoge el 33.,Choisis le 33.,math,
number-identification-14,Choose the 74.,Wähle die  Vierundsiebzig.,Escoge el 74.,Choisis le 74.,math,
number-identification-15,Choose the 87.,Wähle die  Siebenundachzig.,Escoge el 87.,Choisis le 87.,math,
number-identification-16,Choose the 65.,Wähle die  65.,Escoge el 65.,Choisis le 65.,math,
number-identification-17,Choose the 108.,Wähle die  Einhundertacht.,Escoge el 108.,Choisis le 108.,math,
number-identification-18,Choose the 245.,Wähle die  Zweihundertfünfundvierzig.,Escoge el 245.,Choisis le 245.,math,
number-identification-19,Choose the 587.,Wähle die  Fünfhundertsiebenundachzig.,Escoge el 587.,Choisis le 587.,math,
number-identification-2,Choose the 2.,Wähle die Zwei.,Escoge el 2.,Choisis le 2.,math,
number-identification-20,Choose the 731.,Wähle die  Siebenhunderteinunddreißig.,Escoge el 731.,Choisis le 731.,math,
number-identification-21,Choose the 989.,Wähle die  Neunhundertneunundachzig.,Escoge el 989. ,Choisis le 989.,math,
number-identification-22,Choose the 6.,Wähle die sechs.,Escoge el 6.,Choisis le 6.,math,
number-identification-23,Choose the 14.,Wähle die vierzehn.,Escoge el 14.,Choisis le 14.,math,
number-identification-24,Choose the 18.,Wähle die achtzehn.,Escoge el 18.,Choisis le 18.,math,
number-identification-25,Choose the 26.,Wähle die sechsundzwanzig.,Escoge el 26.,Choisis le 26.,math,
number-identification-26,Choose the 35.,Wähle die fünfunddreißig.,Escoge el 35.,Choisis le 35.,math,
number-identification-27,Choose the 41.,Wähle die einundvierzig.,Escoge el 41.,Choisis le 41.,math,
number-identification-28,Choose the 47.,Wähle die siebenundvierzig.,Escoge el 47.,Choisis le 47.,math,
number-identification-29,Choose the 50.,Wähle die fünfzig.,Escoge el 50.,Choisis le 50.,math,
number-identification-3,Choose the 9.,Wähle die Neun.,Escoge el 9.,Choisis le 9.,math,
number-identification-30,Choose the 55.,Wähle die fünfundfünfzig.,Escoge el 55.,Choisis le 55.,math,
number-identification-31,Choose the 66.,Wähle die sechsundsechzig.,Escoge el 66.,Choisis le 66.,math,
number-identification-32,Choose the 67.,Wähle die siebenundsechzig.,Escoge el 67.,Choisis le 67.,math,
number-identification-33,Choose the 88.,Wähle die achtundachtzig.,Escoge el 88.,Choisis le 88.,math,
number-identification-34,Choose the 101.,Wähle die einhunderteins.,Escoge el 101.,Choisis le 101.,math,
number-identification-35,Choose the 426.,Wähle die vierhundertsechsundzwanzig.,Escoge el 426.,Choisis le 426.,math,
number-identification-36,Choose the 131.,Wähle die einhunderteinunddreißig.,Escoge el 131.,Choisis le 131.,math,
number-identification-37,Choose the 256.,Wähle die zweihundertsechsundfünfzig.,Escoge el 256.,Choisis le 256.,math,
number-identification-38,Choose the 349.,Wähle die dreihundertneunundvierzig.,Escoge el 349.,Choisis le 349.,math,
number-identification-39,Choose the 543.,Wähle die fünfhundertdreiundvierzig.,Escoge el 543.,Choisis le 543.,math,
number-identification-4,Choose the 0.,Wähle die Null.,Escoge el 0.,Choisis le 0.,math,
number-identification-40,Choose the 617.,Wähle die sechshundertsiebzehn.,Escoge el 617.,Choisis le 617.,math,
number-identification-41,Choose the 877.,Wähle die achthundertsiebenundsiebzig.,Escoge el 877. ,Choisis le 877.,math,
number-identification-5,Choose the 12.,Wähle die Zwölf.,Escoge el 12.,Choisis le 12.,math,
number-identification-6,Choose the 30.,Wähle die Dreißig.,Escoge el 30.,Choisis le 30.,math,
number-identification-7,Choose the 22.,Wähle die  Zweiundzwanzig.,Escoge el 22.,Choisis le 22.,math,
number-identification-8,Choose the 45.,Wähle die  Fünfundvierzig.,Escoge el 45.,Choisis le 45.,math,
number-identification-9,Choose the 39.,Wähle die  Neununddreißig.,Escoge el 39.,Choisis le 39.,math,
number-identification-prompt1,Choose the number you hear.,"Wähle die Zahl, die du hörst.",Escoge el número cuando lo escuches.,Choisis le numéro que tu entends.,math,
number-line-instruct1,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,"Hier ist eine Zahlenreihe. Du kannst den Schieber vorwärts und rückwärts entlang der Linie bewegen. Ändere den Schieber so, dass er sich an der richtigen Stelle befindet, um zu zeigen, wo die Zahl hingehört. Achte darauf, dass du die Zahlen an beiden Enden ansiehst, wenn du entscheidest, wohin du den Schieber platzierst. ",Aquí tienes una recta numérica. Sobre ella hay un marcador que tu puedes mover hacia la derecha o izquierda. Tu debes ubicar este marcador en el lugar de la recta donde estaría ubicado el número que te indicará cada ejercicio. Asegúrate de revisar bien cuáles son los números de los extremos de la recta antes de decidir dónde ubicar el marcador. ,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,math,
number-line-prompt1,Choose the number that is marked on the number line.,"Wähle die Zahl, die auf der Zahlenreihe markiert ist.",Escoge el número que está marcado en la recta numérica.,Choisis le chiffre qui est marqué sur la ligne numérique.,math,
number-line-slider-prompt1,Move the slider to mark the number.,Bewege den Schieber auf die angegebene Zahl.,Ubica el marcador sobre la recta numérica para marcar el lugar del número.,Move the slider to mark the number.,math,
