item_id,labels,en,de,nl,context,es-CO,fr-CA,de-CH,es-AR
vocab-item-026,vocab,the fan,der ventilator,,,,,der Ventilator,el ventilador
vocab-item-027,vocab,the foam,der schaumstoff,,,,,der Schaumstoff,la espuma
vocab-item-028,vocab,the footbath,das fußbad,,,,,das Fußbad,la lavapiés
vocab-item-029,vocab,the fruitcake,der obstkuchen,,,,,der Obstkuchen,el pastel de frutas
vocab-item-030,vocab,the gutter,die dachrinne,,,,,die Dachrinne,la canaleta
vocab-item-031,vocab,the hamster,der hamster,,,,,der Hamster,el hámster
vocab-item-032,vocab,the hedgehog,der igel,,,,,der Igel,el erizo
vocab-item-033,vocab,the hoe,die hacke,,,,,die Hacke,la azadilla
vocab-item-034,vocab,the hopscotch,Himmel und Hölle,,,,,Himmel und Hölle,la golosa
vocab-item-035,vocab,the kimono,der kimono,,,,,der Kimono,el kimono
vocab-item-036,vocab,the latch,der riegel,,,,,der Riegel,el cerrojo
vocab-item-037,vocab,the locker,das schließfach,,,,,das Schließfach,el casillero
vocab-item-038,vocab,the lollipop,der lollipop,,,,,der Lollipop,la colombina
vocab-item-039,vocab,the map,die karte,,,,,die Karte,el mapa
vocab-item-040,vocab,the marshmallow,der marshmallow,,,,,der Marshmallow,el malvavisco
vocab-item-041,vocab,the net,das netz,,,,,das Netz,la red
vocab-item-042,vocab,the oil,das öl,,,,,das Öl,el aceite
vocab-item-043,vocab,the omelet,das omelett,,,,,das Omelett,la tortilla
vocab-item-044,vocab,the pie,der kuchen,,,,,der Kuchen,la tarta
vocab-item-045,vocab,the pistachio,die pistazien,,,,,die Pistazien,el pistacho
vocab-item-046,vocab,the pitcher,der krug,,,,,der Krug,el cántaro
vocab-item-047,vocab,the potato,die kartoffel,,,,,die Kartoffel,la papa
vocab-item-048,vocab,the prism,das prisma,,,,,das Prisma,el prisma
vocab-item-049,vocab,the puddle,die pfütze,,,,,die Pfütze,el charco
vocab-item-050,vocab,the pump,die pumpe,,,,,die Pumpe,la bomba
vocab-item-051,vocab,the rice,der reis,,,,,der Reis,el arroz
vocab-item-052,vocab,the saddle,der sattel,,,,,der Sattel,la montura
vocab-item-053,vocab,the sandbag,der sandsack,,,,,der Sandsack,la bolsa de arena
vocab-item-054,vocab,the scaffolding,das gerüst,,,,,das Gerüst,el andamio
vocab-item-055,vocab,the scoop,die schaufel,,,,,die Schaufel,el cucharón
vocab-item-056,vocab,the seagull,die möwe,,,,,die Möwe,la gaviota
vocab-item-057,vocab,the ship,das schiff,,,,,das Schiff,el barco
vocab-item-058,vocab,the shower,die dusche,,,,,die Dusche,la ducha
vocab-item-059,vocab,the silverware,der tafelsilber,,,,,das Tafelsilber,los cubiertos
vocab-item-060,vocab,the sink,das waschbecken,,,,,das Waschbecken,el lavatorio
vocab-item-061,vocab,the ski,der ski,,,,,der Ski,el esquí
vocab-item-062,vocab,the sloth,das faultier,,,,,das Faultier,el oso perezoso
vocab-item-063,vocab,the snail,die schnecke,,,,,die Schnecke,el caracol
vocab-item-064,vocab,the sorbet,das sorbet,,,,,das Sorbet,el sorbete
vocab-item-065,vocab,the spatula,der Pfannenwender,,,,,der Pfannenwender,la espátula
vocab-item-066,vocab,the sprinkler,der sprinkler,,,,,der Sprinkler,el aspersor
vocab-item-067,vocab,the squash,der kürbis,,,,,der Kürbis,la calabaza
vocab-item-068,vocab,the squirrel,das eichhörnchen,,,,,das Eichhörnchen,la ardilla
vocab-item-069,vocab,the stew,der Eintopf,,,,,der Eintopf,el estofado
vocab-item-070,vocab,the rubber band,das Gummiband,,,,,das Gummiband,la gomita
vocab-item-071,vocab,the stump,der baumstumpf,,,,,der Baumstumpf,el tocón
vocab-item-072,vocab,the sunflower,die sonnenblume,,,,,die Sonnenblume,el girasol
vocab-item-073,vocab,the swordfish,der schwertfisch,,,,,der Schwertfisch,el pez espada
vocab-item-074,vocab,the tapestry,der wandteppich,,,,,der Wandteppich,el tapiz
vocab-item-075,vocab,the teabag,der teebeutel,,,,,der Teebeutel,la bolsita de té
vocab-item-076,vocab,the telescope,der teleskop,,,,,das Teleskop,el telescopio
vocab-item-077,vocab,the thermos,die thermoskanne,,,,,die Thermoskanne,el termo
vocab-item-078,vocab,the treasure,der schatz,,,,,der Schatz,el tesoro
vocab-item-079,vocab,the trumpet,die trompete,,,,,die Trompete,la trompeta
vocab-item-080,vocab,the tulip,die tulpe,,,,,die Tulpe,el tulipán
vocab-item-081,vocab,the turbine,die turbine,,,,,die Turbine,la turbina
vocab-item-082,vocab,the turkey,der truthahn,,,,,der Truthahn,el pavo
vocab-item-083,vocab,the turtle,die schildkröte,,,,,die Schildkröte,la tortuga
vocab-item-084,vocab,the typewriter,die schreibmaschine,,,,,die Schreibmaschine,la máquina de escribir
vocab-item-085,vocab,the watermelon,die wassermelone,,,,,die Wassermelone,la sandía
vocab-item-086,vocab,the waterwheel,das wasserrad,,,,,das Wasserrad,la noria
vocab-item-087,vocab,the ant,die ameise,,,,,die Ameise,la hormiga
vocab-item-088,vocab,the ball,der kugel,,,,,der Kugel,la pelota
vocab-item-089,vocab,the bear,der bär,,,,,der Bär,el oso
vocab-item-090,vocab,the duck,die ente,,,,,die Ente,el pato
vocab-item-091,vocab,the fork,die gabel,,,,,die Gabel,el tenedor
vocab-item-092,vocab,the kitten,das kätzchen,,,,,das Kätzchen,el gatito
vocab-item-093,vocab,the knee,das knie,,,,,das Knie,la rodilla
vocab-item-094,vocab,the milkshake,der milchshake,,,,,der Milchshake,el batido
vocab-item-095,vocab,the skin,der haut,,,,,die Haut,la piel
vocab-item-096,vocab,the wall,die wand,,,,,die Wand,la pared
vocab-item-097,vocab,the wheel,das rad,,,,,das Rad,la rueda
vocab-item-098,vocab,the farm,der bauernhof,,,,,der Bauernhof,la granja
vocab-item-099,vocab,juggling,der jonglieren,,,,,das Jonglieren,malabares
vocab-item-100,vocab,the dressing,der Dressing,,,,,das Dressing,el aliño
vocab-item-101,vocab,the roof,das dach,,,,,das Dach,el techo
vocab-item-102,vocab,peeking,spähen,,,,,spähen,espiar
vocab-item-103,vocab,the ruler,das lineal,,,,,das Lineal,la regla
vocab-item-104,vocab,the tunnel,der tunnel,,,,,der Tunnel,el túnel
vocab-item-105,vocab,the envelope,der umschlag,,,,,der Umschlag,el sobre
vocab-item-106,vocab,the diamond,der diamant,,,,,der Diamant,el diamante
vocab-item-107,vocab,the calendar,der kalender,,,,,der Kalender,el calendario
vocab-item-108,vocab,the panda,der panda,,,,,der Panda,el panda
vocab-item-109,vocab,the arrow,der pfeil,,,,,der Pfeil,la flecha
vocab-item-110,vocab,picking,pflücken,,,,,pflücken,recolección
vocab-item-111,vocab,dripping,tropfen,,,,,tropfen,goteo
vocab-item-112,vocab,the knight,der ritter,,,,,der Ritter,el caballero
vocab-item-113,vocab,delivering,liefern,,,,,liefern,entrega
vocab-item-114,vocab,the dentist,der zahnarzt,,,,,der Zahnarzt,la dentista
vocab-item-115,vocab,the claw,der Klauenhammer,,,,,der Klauenhammer,la garra
vocab-item-116,vocab,the uniform,die uniform,,,,,die Uniform,el uniforme
vocab-item-117,vocab,furry,pelzig,,,,,pelzig,peludo
vocab-item-118,vocab,the cormorant,der kormoran,,,,,der Kormoran,el cormorán
vocab-item-119,vocab,fetch,bringen,,,,,bringen,buscar
vocab-item-120,vocab,the arcade,die arkade,,,,,die Arkade,el pasaje
vocab-item-121,vocab,the artifact,das artefakt,,,,,das Artefakt,el artefacto
vocab-item-122,vocab,aversion,abneigung,,,,,die Abneigung,aversión
vocab-item-123,vocab,the beret,die baskenmütze,,,,,die Baskenmütze,la boina
vocab-item-124,vocab,applaud,applaudieren,,,,,applaudieren,aplaudir
vocab-item-125,vocab,timid,schüchtern,,,,,schüchtern,tímido
vocab-item-126,vocab,the camp,das lager,,,,,das Lager,el campamento
vocab-item-127,vocab,tumble,turnen,,,,,stürzen,caída
vocab-item-128,vocab,concentric,konzentrisch,,,,,konzentrisch,concéntrico
vocab-item-129,vocab,the confectionery,der Süßigkeiten,,,,,die Süßigkeiten,la confitería
vocab-item-130,vocab,the couturier,der Schneider,,,,,der Schneider,el costurero
vocab-item-131,vocab,degression,degression,,,,,die Degression,disminución
vocab-item-132,vocab,the divan,die Ottomane,,,,,die Ottomane,el diván
vocab-item-133,vocab,the wetland,das feuchtgebiet,,,,,das Feuchtgebiet,el humedal
vocab-item-134,vocab,the baywindow,das erkerfenster,,,,,das Erkerfenster,la ventana saliente
vocab-item-135,vocab,the aesthete,der ästhetik,,,,,der Ästhet,el esteta
vocab-item-136,vocab,ecstatic,ekstatisch,,,,,ekstatisch,extasiado
vocab-item-137,vocab,rickety,heruntergekommen,,,,,heruntergekommen,deteriorado
vocab-item-138,vocab,gourmet,feinschmecker,,,,,Feinschmecker,gourmet
vocab-item-139,vocab,gesticulate,gestikulieren,,,,,gestikulieren,gesticular
vocab-item-140,vocab,the facade,die fassade,,,,,die Fassade,la fachada
vocab-item-141,vocab,the slope,der hang,,,,,der Hang,el pendiente
vocab-item-142,vocab,the habit,die Angewohnheit,,,,,die Angewohnheit,el hábito
vocab-item-143,vocab,the intersection,die kreuzung,,,,,die Kreuzung,la intersección
vocab-item-144,vocab,the irrigation,die bewässerung,,,,,die Bewässerung,la irrigación
vocab-item-145,vocab,the kazoo,der kazoo,,,,,das Kazoo,el kazoo
vocab-item-146,vocab,chat,quatschen,,,,,quatschen,conversar
vocab-item-147,vocab,the colony,die kolonie,,,,,die Kolonie,la colonia
vocab-item-148,vocab,preserve,aufbewahren,,,,,aufbewahren,preservar
vocab-item-149,vocab,the awning,der sonnensegel,,,,,der Sonnensegel,el toldo
vocab-item-150,vocab,mammalogy,säugetierkunde,,,,,Säugetierkunde,mamalogía
vocab-item-151,vocab,the metronome,das metronom,,,,,das Metronom,el metrónomo
vocab-item-152,vocab,the paleontologist,der paläontologe,,,,,der Paläontologe,el paleontólogo
vocab-item-153,vocab,the percussion,die perkussion,,,,,die Perkussion,la percusión
vocab-item-154,vocab,the posterior,der hinten,,,,,der Hinten,la parte posterior
vocab-item-155,vocab,precarious,prekär,,,,,prekär,precario
vocab-item-156,vocab,the arbor,der Pavillon,,,,,der Pavillon,el quiosco
vocab-item-157,vocab,resuscitation,wiederbelebung,,,,,Wiederbelebung,reanimación
vocab-item-158,vocab,the rosette,die rosette,,,,,die Rosette,el rosetón
vocab-item-159,vocab,the saffron,der safran,,,,,der Safran,el azafrán
vocab-item-160,vocab,mischievous,schelmisch,,,,,schelmisch,travieso
vocab-item-161,vocab,the skimmer,der abschäumer,,,,,der Abschäumer,la desnatadora
vocab-item-162,vocab,sedentary,sitzend,,,,,sitzend,sedentario
vocab-item-163,vocab,the suede,das wildleder,,,,,das Wildleder,la gamuza
vocab-item-164,vocab,the turnstile,das Drehkreuz,,,,,das Drehkreuz,el torniquete
vocab-item-165,vocab,the triad,die triade,,,,,die Triade,la tríada
vocab-item-166,vocab,dredging,baggern,,,,,baggern,dragado
vocab-item-167,vocab,urban,städtisch,,,,,städtisch,urbano
vocab-item-168,vocab,the steam,der dampf,,,,,der Dampf,el vapor
vocab-item-169,vocab,the vertebra,der wirbel,,,,,der Wirbel,la vértebra
vocab-item-170,vocab,the bandage,der verband,,,,,der Verband,el vendaje
vocab-instruct-1,vocab,"In this game, you are going to listen to words and look at different pictures. Your job is to pick the picture that matches the word!","In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!",,,,,"In diesem Spiel hörst du Wörter und siehst dir verschiedene Bilder an. Deine Aufgabe ist es, das Bild auszuwählen, das zum Wort passt!","En este juego, vas a escuchar palabras y observar distintas imágenes. ¡Tu trabajo es elegir la imagen que coincida con la palabra!"
vocab-practice-1,vocab,"You are going to see some different pictures. For example, a picture of an apple and a picture of a carrot. Then, you'll hear a word for one of the pictures. Make sure to pick the picture that matches the word!","Du wirst einige verschiedene Bilder sehen. Zum Beispiel ein Bild von einem Apfel und ein Bild von einer Karotte. Dann hörst du ein Wort zu einem der Bilder. Achte darauf, dass du das Bild auswählst, das zum Wort passt!",,,,,"Du wirst einige verschiedene Bilder sehen. Zum Beispiel ein Bild von einem Apfel und ein Bild von einer Karotte. Dann hörst du ein Wort zu einem der Bilder. Achte darauf, dass du das Bild auswählst, das zum Wort passt!","A continuación, verás algunas imágenes, por ejemplo, una imagen de una manzana y una imagen de una zanahoria. Luego, escucharás la palabra que identifica una de las imágenes. ¡Asegúrate de elegir la imagen que coincida con la palabra!"
vocab-instruct-2,vocab,"Some words are hard, and that's okay. If you're not sure, just give your best guess!","Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!",,,,,"Manche Wörter sind schwer, und das ist in Ordnung. Wenn du dir nicht sicher bist, gib einfach dein Bestes!","Algunas palabras son difíciles, pero no te preocupes, si tenés dudas, ¡hacé tu mejor intento!"
vocab-instruct-3,vocab,"If you need to hear the word again, press the speaker button.","Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.",,,,,"Wenn du das Wort noch einmal hören möchtest, drücke die Lautsprechertaste.","Si necesitás escuchar la palabra otra vez, presioná el botón del altavoz."
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.",,,,,,"Für diese Aktivität kannst du einen Touchscreen, ein Touchpad oder die Pfeiltasten verwenden. Probier es jetzt aus.",hola
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Um eine Bild mit einer Pfeiltaste auszuwählen, drücken Sie die Taste, die in dieselbe Richtung wie der Pfeil unter dem Bild zeigt.",,,,,"Um eine Pfeiltaste zu verwenden, um ein Bild auszuwählen, drücke die Taste, die in die gleiche Richtung zeigt wie der Pfeil unter dem Bild.","Para usar una tecla de flecha para elegir una imagen, presiona la tecla que apunta en la misma dirección que la flecha debajo de la imagen."
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.,"Sie können die Wiedergabetaste drücken, um die Dinge noch einmal zu hören. Versuchen Sie es jetzt!",,,,,"Du kannst die Wiedergabetaste drücken, um Dinge noch einmal zu hören. Probier es jetzt aus.",Puedes presionar el botón de reproducir para escuchar las cosas de nuevo. Inténtalo ahora.
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Dies ist eine Zuordnungsaufgabe. Hören Sie, was ich sage, und schauen Sie sich die Bilder sorgfältig an. Wählen Sie das Bild, das zu den Worten passt, die Sie hören.",,,,,"Dies ist eine Zuordnungsaktivität. Hör zu, was ich sage, und schau dir dann die Bilder genau an. Wähle das Bild aus, das zu den Wörtern passt, die du hörst.","Esta es una actividad de emparejamiento. Escucha lo que digo, luego mira las imágenes detenidamente. Elige la imagen que va con las palabras que escuchas."
ChildSurveyIntro,survey,"These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time. The first two are for practice.","In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.",,,,,"In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst. Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer. Die ersten beiden Fragen sind zum Üben.","Estas preguntas se refieren a cómo te sentís en la escuela, y a algunas de las cosas que hacés en la escuela. No hay respuestas correctas ni incorrectas. Elegí la respuesta que mejor diga lo que vos pensás. No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. Las dos primeras preguntas son de práctica."
Example1Comic,survey,Do you like to read comic books?,Liest du gerne Comics?,,,,,Liest du gerne Comics?,¿Te gusta leer historietas (comics)?
Example2Neat,survey,Are you neat and tidy at school?,Bist du in der Schule ordentlich?,,,,,Bist du in der Schule ordentlich?,¿Sos limpio y ordenado en el colegio?
TeacherNice,survey,Is your teacher nice to you?,Ist dein Lehrer nett zu dir?,,,,,Ist dein Lehrer nett zu dir?,¿Te trata bien tu profesor?
TeacherLike,survey,Does your teacher like you?,Mag dich dein Lehrer?,,,,,Mag dich dein Lehrer?,¿Le caés bien a tu profesor?
TeacherListen,survey,Does your teacher listen to you?,Hört dein Lehrer dir zu?,,,,,Hört dein Lehrer dir zu?,¿Te escucha tu profesor?
SchoolFun,survey,Is school fun?,Macht die Schule Spaß?,,,,,Macht die Schule Spaß?,¿Te divertís en el colegio?
SchoolEnjoy,survey,Do you enjoy school?,"Magst du es, in die Schule zu gehen?",,,,,"Magst du es, in die Schule zu gehen?",¿Te gusta la escuela?
SchoolHappy,survey,Are you happy at school?,Bist du glücklich in der Schule?,,,,,Bist du glücklich in der Schule?,¿Te sentís feliz en la escuela?
SchoolSafe,survey,Do you feel safe at school?,Fühlst du dich in der Schule sicher?,,,,,Fühlst du dich in der Schule sicher?,¿Te sentís seguro o segura en el colegio?
ClassFriends,survey,Do you have friends in your class?,Hast du Freunde in deiner Klasse?,,,,,Hast du Freunde in deiner Klasse?,¿Tenés amigos o amigas en tu clase?
ClassHelp,survey,Do the kids in your class help you when you need it?,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",,,,,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",¿Te ayudan los chicos y las chicas de tu clase cuando lo necesitás?
ClassPlay,survey,Do the kids in your class play with you?,Spielen die Kinder in deiner Klasse mit dir?,,,,,Spielen die Kinder in deiner Klasse mit dir?,¿Los chicos y las chicas de tu clase juegan con vos?
ClassNice,survey,Are the kids in your class nice to you?,Sind die Kinder in deiner Klasse nett zu dir?,,,,,Sind die Kinder in deiner Klasse nett zu dir?,¿Los chicos y las chicas de tu clase son amables con vos?
LonelySchool,survey,Do you feel lonely at school?,Fühlst du dich in der Schule einsam?,,,,,Fühlst du dich in der Schule einsam?,¿Te sentís solo o sola en el colegio?
LearningGood,survey,Are you good at learning things in school?,"Bist du gut darin, in der Schule etwas zu lernen?",,,,,"Bist du gut darin, in der Schule etwas zu lernen?",¿Te cuesta aprender en el colegio?
SchoolGiveUp,survey,"When schoolwork is hard, do you give up right away?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?",,,,,"Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?","Cuando las tareas escolares son difíciles, ¿te rendís enseguida?"
ReadingEnjoy,survey,Do you enjoy doing reading activities at school?,Macht es dir Spaß in der Schule zu lesen?,,,,,Macht es dir Spaß in der Schule zu lesen?,¿Te gusta hacer actividades de lectura en el colegio?
MathEnjoy,survey,Do you enjoy doing math activities at school?,Hast du Spaß am Fach Mathe?,,,,,Hast du Spaß am Fach Mathe?,¿Te gusta hacer actividades de matemáticas en el colegio?
ReadingGood,survey,Are you good at reading?,Bist du gut im Lesen?,,,,,Bist du gut im Lesen?,¿Sos bueno o buena para la lectura?
MathGood,survey,Are you good at math?,Bist du gut in Mathe?,,,,,Bist du gut in Mathe?,¿Sos bueno o buena para las matemáticas?
GrowthMindSmart,survey,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",,,,,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",Algunos chicos y chicas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Creés que vos podés ser más inteligente si te esforzás mucho?
GrowthMindRead,survey,Some kids think they can get better at reading if they work really hard. Do you think that you can get better at reading if you work really hard?,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",,,,,"Manche Kinder glauben, dass sie besser lesen können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass du besser lesen kannst, wenn du dich richtig anstrengst?",Algunos chicos y chicas creen que pueden mejorar en lectura si se esfuerzan mucho. ¿Creés que vos podés mejorar en lectura si te esforzás mucho?
GrowthMindMath,survey,Some kids think they can get better at math if they work really hard. Do you think that you can get better at math if you work really hard?,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",,,,,"Manche Kinder glauben, dass sie in Mathematik besser werden können, wenn sie sich richtig anstrengen. Bist du auch der Meinung, dass man in Mathe besser wird, wenn man sich richtig anstrengt?",Algunos chicos y chicas creen que pueden mejorar en matemáticas si se esfuerzan mucho. ¿Creés que vos podés mejorar en matemáticas si te esforzás mucho?
ChildSurveyRespoonses,survey,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time","Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer",,,,,"Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer","No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre"
ToM-scene7-instruct1,theory-of-mind,"Here is Diana. This morning at school, Diana put her toy in this drawer, because she didn’t want anyone to find it.","Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.",,,,,"Das ist Diana. Als sie heute Morgen in die Schule kam, hat Diana ihr Spielzeug in diese Schublade gelegt, weil sie nicht wollte, dass es jemand findet.","Aquí está Diana. Esta mañana en el colegio, Diana metió su juguete en este cajón porque no quería que nadie lo encontrara."
ToM-scene7-instruct2,theory-of-mind,"But while Diana was outside, someone did find it! And moved it from inside the drawer, to inside the desk.","Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.",,,,,"Aber während Diana draußen war, hat es jemand gefunden und aus der Schublade in den Schreibtisch gelegt.","Pero mientras Diana estaba fuera, ¡alguien lo encontró! Y lo movió del cajón al escritorio."
ToM-scene7-instruct3,theory-of-mind,So now it’s playtime and Diana wants her toy.,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,,,,,Nun haben die Kinder Zeit zum Spielen und Diana möchte ihr Spielzeug holen.,Así que ahora es hora de jugar y Diana quiere su juguete.
ToM-scene7-q1-false_belief,theory-of-mind,Where will Diana look for her toy?,Wo wird Diana nach ihrem Spielzeug suchen?,,,,,Wo wird Diana nach ihrem Spielzeug suchen?,¿Dónde buscará Diana su juguete?
ToM-scene7-q2-reality_check,theory-of-mind,And where is her toy really?,Und wo ist ihr Spielzeug wirklich?,,,,,Und wo ist ihr Spielzeug wirklich?,¿Y dónde está realmente su juguete?
desk,theory-of-mind,In the desk,Im Schreibtisch,,,,,Im Schreibtisch,En el escritorio
drawer,theory-of-mind,In the drawer,In der Schublade,,,,,In der Schublade,En el cajón
ToM-scene8-instruct1,theory-of-mind,"This morning when she came to school, Allie put her yellow pencil on this shelf, above the backpack shelf.","Heute Morgen, als sie in die Schule kam, legte Linda ihren gelben Bleistift auf das Regal über dem Rucksackregal.",,,,,"Heute Morgen, als sie in die Schule kam, legte Linda ihren gelben Bleistift auf das Regal über dem Rucksackregal.","Esta mañana, cuando vino a la escuela, Alejandra puso su lápiz de color amarillo en la repisa, sobre el mueble de las mochilas."
ToM-scene8-instruct2,theory-of-mind,"And then she went outside to play, see? Here’s Allie playing outside. And while she was outside playing, Allie’s yellow pencil fell down from on top of the shelf to behind the backpack shelf, see?","Und dann ist sie zum spielen nach draußen gegangen, siehst du? Und während sie draußen spielte, fiel Lindas gelber Bleistift von oben runter und hinter das Rucksackregal, siehst du?",,,,,"Und dann ist sie zum spielen nach draußen gegangen, siehst du? Und während sie draußen spielte, fiel Lindas gelber Bleistift von oben runter und hinter das Rucksackregal, siehst du?","Y luego salió a jugar, ¿ves? Aquí está Alejandra jugando afuera. Y mientras estaba afuera jugando, el lápiz de color amarillo de Alejandra se cayó de la repisa y quedó detrás del mueble de las mochilas, ¿ves?"
ToM-scene8-instruct3,theory-of-mind,"Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Dann kommt Tim herein, und Tim legt seinen Bleistift auf das Regal über dem Rucksackregal. Tims Bleistift ist auch gelb! Aber Linda ist noch draußen und spielt, deshalb hat sie nicht gesehen, was Tim gemacht hat.",,,,,"Dann kommt Tim herein, und Tim legt seinen Bleistift auf das Regal über dem Rucksackregal. Tims Bleistift ist auch gelb! Aber Linda ist noch draußen und spielt, deshalb hat sie nicht gesehen, was Tim gemacht hat.","Entonces entra Miguel y Miguel pone su lápiz encima del mueble de las mochilas. El lápiz de Miguel también es de color amarillo. Pero Alejandra todavía está afuera jugando, así que no vio lo que Miguel estaba haciendo."
ToM-scene8-q1-false_belief,theory-of-mind,"Now, when Allie comes in from outside, where will she look first for her pencil?","Wenn Linda jetzt von draußen reinkommt, wo wird sie zuerst nach ihrem Bleistift suchen?",,,,,"Wenn Linda jetzt von draußen reinkommt, wo wird sie zuerst nach ihrem Bleistift suchen?","Ahora, cuando Alejandra vuelva de afuera, ¿dónde buscará primero su lápiz?"
top,theory-of-mind,On top of the shelf above the backpack shelf,Oben auf dem Regal über dem Rucksackregal.,,,,,Oben auf dem Regal über dem Rucksackregal.,En la repisa sobre el mueble de las mochilas
behind,theory-of-mind,Behind the backpack shelf,Hinter dem Rucksackregal,,,,,Hinter dem Rucksackregal,Detrás del mueble de las mochilas
ToM-scene-8-instruct4,theory-of-mind,"Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Schauen wir mal, was sie macht. Oh, sieh mal, hier greift Linda nach dem Bleistift oben auf dem Regal. Und jetzt sieht Tim, wie Linda nach dem Bleistift greift... dem Bleistift, der Tim gehört!",,,,,"Schauen wir mal, was sie macht. Oh, sieh mal, hier greift Linda nach dem Bleistift oben auf dem Regal. Und jetzt sieht Tim, wie Linda nach dem Bleistift greift... dem Bleistift, der Tim gehört!","Veamos lo que hace. Oh, mirá, aquí está Alejandra agarrando este lápiz de encima del mueble. Y ahora Miguel ve a Alejandra agarrando ese lápiz... ¡el lápiz que es de Miguel!"
ToM-scene-8-q2-emotion_reasoning,theory-of-mind,How do you think Mike feels about Allie reaching for that pencil?,"Was glaubst du, wie Tim sich fühlt, wenn Linda nach dem Bleistift greift?",,,,,"Was glaubst du, wie Tim sich fühlt, wenn Linda nach dem Bleistift greift?",¿Cómo creés que se siente Miguel cuando Alejandra intenta agarrar ese lápiz?
ToM-scene-8-q3-emotion_reasoning,theory-of-mind,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,"Wie würde sich Tim wohl fühlen, wenn er nicht gesehen hätte, wie Linda nach dem Bleistift greift?",,,,,"Wie würde sich Tim wohl fühlen, wenn er nicht gesehen hätte, wie Linda nach dem Bleistift greift?",¿Cómo creés que se sentiría Miguel si no hubiera visto a Alejandra intentar agarrar el lápiz?
ToM-scene-8-q4-false_belief,theory-of-mind,Is Allie being mean and naughty for taking Mike’s pencil?,"Ist es gemein und frech von Linda, dass sie Tims Bleistift genommen hat?",,,,,"Ist es gemein und frech von Linda, dass sie Tims Bleistift genommen hat?",¿Alejandra está siendo mala y traviesa por agarrar el lápiz de Miguel?
