old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_1_elements_5_items_1_title,pages_1_elements_5_items_1_placeholder,centimeters,centimeters,missing key,centimeters,missing key,centimeters,Zentimeter,Zentimeter,missing key,missing key,centímetros,missing key,missing key,centímetros
pages_1_elements_5_items_1_title,pages_1_elements_5_items_1_title,centimeters,centimeters,missing key,centimeters,missing key,centimeters,Zentimeter,Zentimeter,missing key,missing key,centímetros,missing key,missing key,centímetros
pages_1_elements_5_title,pages_1_elements_5_title,What is your child's CURRENT height? (please estimate to the best of your knowledge),What is your child's CURRENT height? (please estimate to the best of your knowledge),missing key,What is your child's CURRENT height? (please estimate to the best of your knowledge),missing key,What is your child's CURRENT height? (please estimate to the best of your knowledge),Wie groß ist Ihr Kind AKTUELL?,Wie groß ist Ihr Kind AKTUELL?,missing key,missing key,"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",missing key,missing key,"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)"
pages_1_elements_6_items_0_title,pages_1_elements_6_items_0_placeholder,pounds,pounds,missing key,pounds,missing key,pounds,kilo,kilo,missing key,missing key,kilos,missing key,missing key,kilos
pages_1_elements_6_items_0_title,pages_1_elements_6_items_0_title,pounds,pounds,missing key,pounds,missing key,pounds,kilo,kilo,missing key,missing key,kilos,missing key,missing key,kilos
pages_1_elements_6_title,pages_1_elements_6_title,What is your child's CURRENT weight? (please estimate to the best of your knowledge),What is your child's CURRENT weight? (please estimate to the best of your knowledge),missing key,What is your child's CURRENT weight? (please estimate to the best of your knowledge),missing key,What is your child's CURRENT weight? (please estimate to the best of your knowledge),Was ist das AKTUELLE Gewicht Ihres Kindes?,Was ist das AKTUELLE Gewicht Ihres Kindes?,missing key,missing key,"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",missing key,missing key,"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)"
pages_6_elements_0_labelFalse,pages_1_elements_7_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_1_elements_7_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_1_elements_7_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_1_elements_7_title,pages_1_elements_7_title,Was your child born early (more than three weeks before due date)?,Was your child born early (more than three weeks before due date)?,missing key,Was your child born early (more than three weeks before due date)?,missing key,Was your child born early (more than three weeks before due date)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,missing key,missing key,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,missing key,missing key,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?
pages_1_elements_8_placeholder,pages_1_elements_8_placeholder,Grams,Grams,missing key,Grams,missing key,Grams,Gramm,Gramm,missing key,missing key,Gramos,missing key,missing key,Gramos
pages_1_elements_8_title,pages_1_elements_8_title,"How much did your child weigh at birth? (if you do not know, leave blank)","How much did your child weigh at birth? (if you do not know, leave blank)",missing key,"How much did your child weigh at birth? (if you do not know, leave blank)",missing key,"How much did your child weigh at birth? (if you do not know, leave blank)","Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)","Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)",missing key,missing key,"¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)",missing key,missing key,"¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)"
pages_1_elements_9_choices_0_text,pages_1_elements_9_choices_0_text,Excellent,Excellent,missing key,Excellent,missing key,Excellent,Hervorragend,Hervorragend,missing key,missing key,Excelente,missing key,missing key,Excelente
pages_1_elements_9_choices_1_text,pages_1_elements_9_choices_1_text,Very Good,Very Good,missing key,Very Good,missing key,Very Good,Sehr gut,Sehr gut,missing key,missing key,Muy buena,missing key,missing key,Muy buena
pages_1_elements_9_choices_2_text,pages_1_elements_9_choices_2_text,Good,Good,missing key,Good,missing key,Good,Gut,Gut,missing key,missing key,Buena,missing key,missing key,Buena
pages_1_elements_9_choices_3_text,pages_1_elements_9_choices_3_text,Fair,Fair,missing key,Fair,missing key,Fair,Mittelmäßig,Mittelmäßig,missing key,missing key,Regular,missing key,missing key,Regular
pages_1_elements_9_choices_4_text,pages_1_elements_9_choices_4_text,Poor,Poor,missing key,Poor,missing key,Poor,Schlecht,Schlecht,missing key,missing key,Deficiente,missing key,missing key,Deficiente
pages_1_elements_9_title,pages_1_elements_9_title,"In general, how would you describe your child's health?","In general, how would you describe your child's health?",missing key,"In general, how would you describe your child's health?",missing key,"In general, how would you describe your child's health?",Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,missing key,missing key,"En general, ¿cómo describiría la salud de su niño(a)?",missing key,missing key,"En general, ¿cómo describiría la salud de su niño(a)?"
pages_6_elements_0_labelFalse,pages_2_elements_0_elements_0_elements_0_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_2_elements_0_elements_0_elements_0_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_2_elements_0_elements_0_elements_0_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_2_elements_0_elements_0_elements_0_title,pages_2_elements_0_elements_0_elements_0_title,Breathing or other respiratory problems (such as wheezing or shortness of breath),Breathing or other respiratory problems (such as wheezing or shortness of breath),missing key,Breathing or other respiratory problems (such as wheezing or shortness of breath),missing key,Breathing or other respiratory problems (such as wheezing or shortness of breath),Atembeschwerden oder andere Atemprobleme (wie Keuchen oder Kurzatmigkeit),Atembeschwerden oder andere Atemprobleme (wie Keuchen oder Kurzatmigkeit),missing key,missing key,Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire),missing key,missing key,Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire)
pages_6_elements_0_labelFalse,pages_2_elements_0_elements_0_elements_1_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_2_elements_0_elements_0_elements_1_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_2_elements_0_elements_0_elements_1_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_2_elements_0_elements_0_elements_1_title,pages_2_elements_0_elements_0_elements_1_title,Eating or swallowing because of a health condition,Eating or swallowing because of a health condition,missing key,Eating or swallowing because of a health condition,missing key,Eating or swallowing because of a health condition,Essen oder Schlucken aufgrund eines Gesundheitszustands,Essen oder Schlucken aufgrund eines Gesundheitszustands,missing key,missing key,Comer o tragar debido a una afección de salud,missing key,missing key,Comer o tragar debido a una afección de salud
pages_6_elements_0_labelFalse,pages_2_elements_0_elements_0_elements_2_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_2_elements_0_elements_0_elements_2_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_2_elements_0_elements_0_elements_2_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_2_elements_0_elements_0_elements_2_title,pages_2_elements_0_elements_0_elements_2_title,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea","Digesting food, including stomach/intestinal problems, constipation, or diarrhea",missing key,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea",missing key,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea","Verdauung von Nahrungsmitteln, einschließlich Magen-/Darmproblemen, Verstopfung oder Durchfall","Verdauung von Nahrungsmitteln, einschließlich Magen-/Darmproblemen,Verdauung von Nahrungsmitteln",missing key,missing key,"Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea",missing key,missing key,"Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea"
pages_6_elements_0_labelFalse,pages_2_elements_0_elements_0_elements_3_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_2_elements_0_elements_0_elements_3_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_2_elements_0_elements_0_elements_3_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_2_elements_0_elements_0_elements_3_title,pages_2_elements_0_elements_0_elements_3_title,"Repeated or chronic physical pain, including headaches or other back or body pain","Repeated or chronic physical pain, including headaches or other back or body pain",missing key,"Repeated or chronic physical pain, including headaches or other back or body pain",missing key,"Repeated or chronic physical pain, including headaches or other back or body pain","Wiederholte oder chronische körperliche Schmerzen, einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen","Wiederholte oder chronische körperliche Schmerzen, einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen",missing key,missing key,"Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros",missing key,missing key,"Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros"
pages_6_elements_0_labelFalse,pages_2_elements_0_elements_0_elements_4_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_2_elements_0_elements_0_elements_4_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_2_elements_0_elements_0_elements_4_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_2_elements_0_elements_0_elements_6_title,pages_2_elements_0_elements_0_elements_4_title,Decayed teeth or cavities,Decayed teeth or cavities,missing key,Decayed teeth or cavities,missing key,Decayed teeth or cavities,Karies oder Zahnlöcher,Karies oder Zahnlöcher,missing key,missing key,Dientes deteriorados o caries,missing key,missing key,Dientes deteriorados o caries
,pages_2_elements_0_elements_0_title,missing key,"<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?",missing key,missing key,missing key,missing key,missing key,Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,missing key,missing key,missing key,missing key,missing key,"<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?"
pages_6_elements_0_labelFalse,pages_3_elements_0_elements_0_elements_0_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_3_elements_0_elements_0_elements_0_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_3_elements_0_elements_0_elements_0_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_3_elements_0_elements_0_elements_0_title,pages_3_elements_0_elements_0_elements_0_title,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition","Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition",missing key,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition",missing key,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition","Ernsthafte Schwierigkeiten, sich zu konzentrieren, sich zu erinnern oder Entscheidungen zu treffen, aufgrund eines körperlichen, geistigen oder emotionalen Zustands","Ernsthafte Schwierigkeiten, sich zu konzentrieren, aufgrund eines körperlichen, aufgrund eines körperlichen, geistigen oder emotionalen Zustands",missing key,missing key,"Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional",missing key,missing key,"Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional"
pages_6_elements_0_labelFalse,pages_3_elements_0_elements_0_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_3_elements_0_elements_0_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_3_elements_0_elements_0_elements_1_title,pages_3_elements_0_elements_0_elements_1_title,Serious difficulty walking or climbing stairs,Serious difficulty walking or climbing stairs,missing key,Serious difficulty walking or climbing stairs,missing key,Serious difficulty walking or climbing stairs,Ernsthafte Schwierigkeiten beim Gehen oder Treppensteigen,Ernsthafte Schwierigkeiten beim Gehen oder Treppensteigen,missing key,missing key,Dificultad grave para caminar o subir escaleras,missing key,missing key,Dificultad grave para caminar o subir escaleras
pages_6_elements_0_labelFalse,pages_3_elements_0_elements_0_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_3_elements_0_elements_0_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_3_elements_0_elements_0_elements_2_title,pages_3_elements_0_elements_0_elements_2_title,Difficulty dressing or bathing,Difficulty dressing or bathing,missing key,Difficulty dressing or bathing,missing key,Difficulty dressing or bathing,Schwierigkeiten beim Anziehen oder Baden,Schwierigkeiten beim Anziehen oder Baden,missing key,missing key,Dificultad para vestirse o bañarse,missing key,missing key,Dificultad para vestirse o bañarse
pages_6_elements_0_labelFalse,pages_3_elements_0_elements_0_elements_3_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_3_elements_0_elements_0_elements_3_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_3_elements_0_elements_0_elements_3_title,pages_3_elements_0_elements_0_elements_3_title,Deafness or problems with hearing,Deafness or problems with hearing,missing key,Deafness or problems with hearing,missing key,Deafness or problems with hearing,Taubheit oder Hörprobleme,Taubheit oder Hörprobleme,missing key,missing key,Sordera o problemas de audición,missing key,missing key,Sordera o problemas de audición
pages_6_elements_0_labelFalse,pages_3_elements_0_elements_0_elements_4_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_3_elements_0_elements_0_elements_4_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_3_elements_0_elements_0_elements_4_title,pages_3_elements_0_elements_0_elements_4_title,"Blindness or problems with seeing, even when wearing glasses","Blindness or problems with seeing, even when wearing glasses",missing key,"Blindness or problems with seeing, even when wearing glasses",missing key,"Blindness or problems with seeing, even when wearing glasses","Blindheit oder Sehprobleme, auch beim Tragen einer Brille","Blindheit oder Sehprobleme, auch beim Tragen einer Brille",missing key,missing key,"Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes",missing key,missing key,"Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes"
pages_3_elements_0_elements_0_title,pages_3_elements_0_elements_0_title,Does your child have any of the following?,Does your child have any of the following?,missing key,Does your child have any of the following?,missing key,Does your child have any of the following?,Hat Ihr Kind eines der folgenden Probleme?,Hat Ihr Kind eines der folgenden Probleme?,missing key,missing key,¿Tiene su niño(a) alguna de las siguientes?,missing key,missing key,¿Tiene su niño(a) alguna de las siguientes?
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_0_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_0_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_4_elements_0_elements_0_elements_0_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_4_elements_0_elements_0_choices_3_text,pages_4_elements_0_elements_0_elements_0_choices_3_text,Prefer not to respond,Prefer not to respond,missing key,Prefer not to respond,missing key,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,missing key,missing key,Prefiero no responder,missing key,missing key,Prefiero no responder
pages_4_elements_0_elements_2_elements_0_title,pages_4_elements_0_elements_0_elements_0_title,Behavioral or Conduct Problems,Behavioral or Conduct Problems,missing key,Behavioral or Conduct Problems,missing key,Behavioral or Conduct Problems,Verhaltens- oder Benehmensprobleme,Verhaltens- oder Benehmensprobleme,missing key,missing key,Problemas de comportamiento o conducta,missing key,missing key,Problemas de comportamiento o conducta
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_10_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_10_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_10_title,missing key,Does your child <b>CURRENTLY</b > have a Speech or other language disorder?,missing key,missing key,missing key,missing key,missing key,Hat Ihr Kind <b>AKTUELL</b> eine Sprech- oder andere Sprachstörung?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene un trastorno del habla u otro trastorno del lenguaje?
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_11_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_11_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_11_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_11_title,pages_4_elements_0_elements_0_elements_11_title,"Is the current Speech or other language disorder, Mild, Moderate, or Severe?","Is the current Speech or other language disorder, Mild, Moderate, or Severe?",missing key,"Is the current Speech or other language disorder, Mild, Moderate, or Severe?",missing key,"Is the current Speech or other language disorder, Mild, Moderate, or Severe?","Ist die aktuelle Sprech- oder andere Sprachstörungen leicht, mäßig oder schwerwiegend?","Ist die aktuelle Sprech- oder andere Sprachstörungen leicht, mäßig oder schwerwiegend?",missing key,missing key,"¿El trastorno actual del habla u otro trastorno del lenguaje es leve, moderado o severo?",missing key,missing key,"¿El trastorno actual del habla u otro trastorno del lenguaje es leve, moderado o severo?"
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_12_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_12_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_4_elements_0_elements_0_elements_12_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_4_elements_0_elements_0_choices_3_text,pages_4_elements_0_elements_0_elements_12_choices_3_text,Prefer not to respond,Prefer not to respond,missing key,Prefer not to respond,missing key,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,missing key,missing key,Prefiero no responder,missing key,missing key,Prefiero no responder
pages_4_elements_0_elements_2_elements_12_title,pages_4_elements_0_elements_0_elements_12_title,Learning Disability,Learning Disability,missing key,Learning Disability,missing key,Learning Disability,Lernbehinderung,Lernbehinderung,missing key,missing key,Discapacidades del aprendizaje,missing key,missing key,Discapacidades del aprendizaje
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_13_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_13_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_13_title,missing key,Does your child <b>CURRENTLY</b > have a Learning Disability?,missing key,missing key,missing key,missing key,missing key,Hat Ihr Kind <b>AKTUELL</b> eine Lernbehinderung?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene discapacidades del aprendizaje?
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_14_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_14_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_14_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_14_title,pages_4_elements_0_elements_0_elements_14_title,"Is the current Learning Disability, Mild, Moderate, or Severe?","Is the current Learning Disability, Mild, Moderate, or Severe?",missing key,"Is the current Learning Disability, Mild, Moderate, or Severe?",missing key,"Is the current Learning Disability, Mild, Moderate, or Severe?","Ist die aktuelle Lernbehinderung leicht, mäßig oder schwerwiegend?","Ist die aktuelle Lernbehinderung leicht, mäßig oder schwerwiegend?",missing key,missing key,"¿La discapacidad de aprendizaje actual es leve, moderada o severo?",missing key,missing key,"¿La discapacidad de aprendizaje actual es leve, moderada o severo?"
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_15_choices_0_text,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_15_choices_1_text,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_7_choices_2_text,pages_4_elements_0_elements_0_elements_15_choices_2_text,Don't know,Don't know,missing key,Don't know,missing key,Don't know,weiß nicht,weiß nicht,missing key,missing key,No sé,missing key,missing key,No sé
pages_4_elements_0_elements_0_choices_3_text,pages_4_elements_0_elements_0_elements_15_choices_3_text,Prefer not to respond,Prefer not to respond,missing key,Prefer not to respond,missing key,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,missing key,missing key,Prefiero no responder,missing key,missing key,Prefiero no responder
,pages_4_elements_0_elements_0_elements_15_title,missing key,Autism Spectrum Disorder (ASD) <br>(includes Asperger's Disorder or Pervasive Developmental Disorder (PDD)),missing key,missing key,missing key,missing key,missing key,Autismus-Spektrum-Störung (ASS)<br>(einschließlich Asperger-Syndrom oder tiefgreifende Entwicklungsstörung),missing key,missing key,missing key,missing key,missing key,Trastorno del espectro autista (TEA) <br>(incluye el síndrome de Asperger o trastorno generalizado del desarrollo (TGD))
pages_6_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_16_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_16_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_0_elements_16_title,missing key,Does your child <b>CURRENTLY</b > have an Autism Spectrum Disorder (ASD) (includes Asperger's Disorder or Pervasive Developmental Disorder (PDD))?,missing key,missing key,missing key,missing key,missing key,Leidet Ihr Kind <b>AKTUELL</b> an einer Autismus-Spektrum-Störung (einschließlich Asperger-Syndrom oder tiefgreifender Entwicklungsstörung)?,missing key,missing key,missing key,missing key,missing key,¿<b>ACTUALMENTE</b> su niño(a) tiene Trastorno del espectro autista (incluye el síndrome de Asperger o Trastorno generalizado del desarrollo)
pages_4_elements_0_elements_2_elements_2_choices_0_text,pages_4_elements_0_elements_0_elements_17_choices_0_text,Mild,Mild,missing key,Mild,missing key,Mild,leicht,leicht,missing key,missing key,Leve,missing key,missing key,Leve
pages_4_elements_0_elements_2_elements_2_choices_1_text,pages_4_elements_0_elements_0_elements_17_choices_1_text,Moderate,Moderate,missing key,Moderate,missing key,Moderate,mäßig,mäßig,missing key,missing key,Moderado,missing key,missing key,Moderado
pages_4_elements_0_elements_2_elements_2_choices_2_text,pages_4_elements_0_elements_0_elements_17_choices_2_text,Severe,Severe,missing key,Severe,missing key,Severe,schwerwiegend,schwerwiegend,missing key,missing key,Severo,missing key,missing key,Severo
pages_4_elements_0_elements_2_elements_17_title,pages_4_elements_0_elements_0_elements_17_title,"Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?","Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?",missing key,"Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?",missing key,"Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?","Handelt es sich bei der aktuellen Autismus-Spektrum-Störung (einschließlich Asperger-Syndrom oder tiefgreifende Entwicklungsstörung) um eine leicht, mäßige oder schwerwiegend?","Handelt es sich bei der aktuellen Autismus-Spektrum-Störung (einschließlich Asperger-Syndrom oder tiefgreifende Entwicklungsstörung) um eine leicht, mäßige oder schwerwiegend?",missing key,missing key,"¿El trastorno actual del espectro autista (incluye el trastorno de Asperger o trastorno generalizado del desarrollo) es leve, moderado o severo?",missing key,missing key,"¿El trastorno actual del espectro autista (incluye el trastorno de Asperger o trastorno generalizado del desarrollo) es leve, moderado o severo?"
