item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
matrix-reasoning-instruct1-part1-downex,matrix-reasoning,Look at this!,¡Mirá esto!,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Look at this!,Rigardu tion!,NO APPROVED TRANSLATION,Kijk hier eens naar!,
matrix-reasoning-instruct1-part2-downex,matrix-reasoning,Which one of these fits?,¿Cuál de estos encaja?,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Which one of these fits?,Kiu el ĉi tiuj kongruas?,NO APPROVED TRANSLATION,Welke van deze opties past?,
matrix-reasoning-instruct1-part3-downex,matrix-reasoning,Let's look carefully at all of them. I am going to pick this one because it fits.,Miremos bien todos. Voy a elegir este porque encaja.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Let's look carefully at all of them. I am going to pick this one because it fits.,Ni rigardu atente ĉiujn. Mi elektos ĉi tiun ĉar ĝi taŭgas.,NO APPROVED TRANSLATION,"Laten we ze allemaal eens goed bekijken. Ik kies deze, omdat hij past.",
matrix-reasoning-instruct1-part4-downex,matrix-reasoning,Yay! Everything fits!,¡Bien! ¡Todo encaja!,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Yay! Everything fits!,Jee! Ĉio taŭgas!,NO APPROVED TRANSLATION,Hoera! Alles past!,
matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Qué pieza va en el rompecabezas?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,NO APPROVED TRANSLATION,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,Ĉu vi vidas ĉi tiun grandan enigmon? Mankas peco! Kiun pecon oni devus elekti por la enigmo?,NO APPROVED TRANSLATION,Zie je deze grote puzzel? Er mist een stuk! Welk stuk hoort in de puzzel?,
matrix-reasoning-instruct2-part1-downex,matrix-reasoning,Here's a new kind of puzzle.,Acá hay un nuevo tipo de rompecabezas.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Here’s a new kind of puzzle.,Jen nova speco de enigmo.,NO APPROVED TRANSLATION,Dit is een nieuw soort puzzel.,
matrix-reasoning-instruct2-part2-downex,matrix-reasoning,See these three pieces? They make a pattern: they are all big and black.,¿Ves estas tres piezas? Forman un patrón: todas son grandes y negras.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,See these three pieces? They make a pattern: they are all big and black.,Ĉu vi vidas ĉi tiujn tri pecojn? Ili formas padronon: ili estas ĉiuj grandaj kaj nigraj.,NO APPROVED TRANSLATION,Zie je deze drie stukken? Ze vormen een patroon: ze zijn allemaal groot en zwart.,
matrix-reasoning-instruct2-part3-downex,matrix-reasoning,See these three pieces? They also make a pattern: they are all medium size and yellow.,¿Ves estas tres piezas? También forman un patrón: todas son medianas y amarillas.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,See these three pieces? They also make a pattern: they are all medium size and yellow.,Ĉu vi vidas ĉi tiujn tri pecojn? Ili ankaŭ formas padronon: ili estas ĉiuj mezgrandaj kaj flavaj.,NO APPROVED TRANSLATION,Zie je deze drie stukken? Ze vormen ook een patroon: ze zijn alle drie middelgroot en geel.,
matrix-reasoning-instruct2-part4-downex,matrix-reasoning,"These pieces make a pattern, too, but one is missing!","Estas piezas también forman un patrón, pero ¡falta una!",NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,"These pieces make a pattern, too, but one is missing!","Ĉi tiuj pecoj ankaŭ formas padronon, sed unu mankas!",NO APPROVED TRANSLATION,"Ook deze stukken vormen een patroon, maar er ontbreekt er één!",
matrix-reasoning-instruct2-part5-downex,matrix-reasoning,"Look carefully at each of the pieces. Then, choose the piece that completes the puzzle.","Mirá bien cada una de estas piezas. Después, elegí la pieza que complete el rompecabezas.",NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,"Look carefully at each of the pieces. Then, choose the piece that completes the puzzle.","Rigardu atente ĉiu el la pecoj. Poste, elektu la pecon kiu kompletigas la enigmon.",NO APPROVED TRANSLATION,Bekijk elk stuk goed. Kies vervolgens het stuk dat de puzzel compleet maakt.,
matrix-reasoning-instruct3-downex,matrix-reasoning,"Okay, now you're going to play the rest of the game on your own. Look carefully at each of the pieces. Then, choose the piece that completes the puzzle!","Bueno, ahora vas a jugar el resto del juego vos solo. Mirá bien cada una de las piezas. Después, ¡elegí la pieza que complete el rompecabezas!",NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,"OK, now you're going to play the rest of the game on your own. Look carefully at each of the pieces. Then, choose the piece that completes the puzzle!","Bone, nun vi ludos la reston de la ludo sola. Rigardu atente ĉiu el la pecoj. Poste, elektu la pecon kiu kompletigas la enigmon!",NO APPROVED TRANSLATION,"Oké, nu ga je de rest van het spel zelf spelen. Bekijk elk stuk goed. Kies vervolgens het stuk dat de puzzel compleet maakt!",
matrix-reasoning-instruct4-downex,matrix-reasoning,Here is a new kind of puzzle. Look carefully at the pieces. Let's practice!,Acá hay un nuevo tipo de rompecabezas. Mirá las piezas con atención. ¡Practiquemos!,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Here is a new kind of puzzle. Look carefully at the pieces. Let's practice!,Jen nova speco de enigmo. Rigardu atente la pecojn. Ni praktiku!,NO APPROVED TRANSLATION,Hier is een nieuw soort puzzel. Kijk goed naar de stukken. Laten we oefenen!,
matrix-reasoning-instruct5-part1-downex,matrix-reasoning,These pieces make a pattern.,Estas piezas forman un patrón.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,These pieces make a pattern.,Ĉi tiuj pecoj formas padronon.,NO APPROVED TRANSLATION,Deze stukken vormen een patroon.,
matrix-reasoning-instruct5-part2-downex,matrix-reasoning,This piece should make a pattern too!,¡Esta pieza también debería formar un patrón!,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,This piece should make a pattern too!,Ĉi tiu peco ankaŭ devas formi padronon!,NO APPROVED TRANSLATION,Dit stuk zou ook een patroon kunnen vormen!,
matrix-reasoning-prompt1,matrix-reasoning,Choose the best piece to complete the puzzle.,Elegí la mejor pieza para completar el rompecabezas.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the best piece to complete the puzzle.,Elektu la plej bonan pecon por kompletigi la enigmon.,NO APPROVED TRANSLATION,Kies het juiste stuk om de puzzel af te maken.,
matrix-reasoning-prompt1-part1-downex,matrix-reasoning,Look carefully at this.,Mirá con atención.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Look carefully at this.,Rigardu atente al tio.,NO APPROVED TRANSLATION,Kijk hier goed naar.,
matrix-reasoning-prompt1-part2-downex,matrix-reasoning,Which one of these fits?,¿Cuál de estos encaja?,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Which one of these fits?,Kiu el ĉi tiuj kongruas?,NO APPROVED TRANSLATION,Welke van deze opties past?,
medium_cup,theory-of-mind,The medium sized cup,La taza mediana,La taza mediana,Die mittelgroße Tasse,NO APPROVED TRANSLATION,,La meza taso,NO APPROVED TRANSLATION,De middelgrote beker,
memory-game-backward-prompt,memory-game,Choose the squares in the backward order.,Elegí los cuadrados en orden inverso.,,,,Choose the squares in the backward order.,Elektu la kvadratojn en la inversa ordo.,,Kies de vierkanten in omgekeerde volgorde.,
memory-game-backward-try-again,memory-game,That's not quite right. Please try again. Choose the squares in the backward order.,Eso no está del todo bien. ¡Intentalo de nuevo! Elegí los cuadrados en orden inverso.,,,,That's not quite right. Please try again. Choose the squares in the backward order.,Tio ne estas tute ĝusta. Bonvolu reprovi. Elektu la kvadratojn en la inversa ordo.,,Dat is niet helemaal juist. Probeer het opnieuw. Kies de vierkanten in omgekeerde volgorde.,
memory-game-display,memory-game,Watch the squares light up.,Observá cómo se iluminan los cuadrados.,,,,Watch the squares light up.,Rigardu kiel la kvadratoj lumas.,,Kijk hoe de vierkanten oplichten.,
memory-game-feedback-incorrect-downex,memory-game,Not Quite! Make the squares blue in the same order.,¡Casi! Hacé que los cuadrados sean azules en el mismo orden.,,,,Not Quite! Make the squares blue in the same order.,Ne tute! Faru la kvadratojn bluaj en la sama ordo.,,Niet helemaal! Maak de vierkanten blauw in dezelfde volgorde.,
memory-game-forward-prompt,memory-game,Choose the squares in the same order.,Elegí los cuadrados en el mismo orden.,,,,Choose the squares in the same order.,Elektu la kvadratojn en la sama ordo.,,Kies de vierkanten in dezelfde volgorde.,
memory-game-forward-try-again,memory-game,That's not quite right. Please try again. Choose the squares in the same order.,Eso no está del todo bien. ¡Intentalo de nuevo! Elegí los cuadrados en el mismo orden.,,,,That's not quite right. Please try again. Choose the squares in the same order.,Tio ne estas tute ĝusta. Bonvolu reprovi. Elektu la kvadratojn en la sama ordo.,,Dat is niet helemaal juist. Probeer het opnieuw. Kies de vierkanten in dezelfde volgorde.,
memory-game-input,memory-game,Choose the squares in the same order.,Elegí los cuadrados en el mismo orden.,,,,Choose the squares in the same order.,Elektu la kvadratojn en la sama ordo.,,Kies de vierkanten in dezelfde volgorde.,
memory-game-instruct1,memory-game,This is the memory game. Here's how you play it.,Este es el juego de la memoria. Las reglas son las siguientes.,,,,This is the memory game. Here's how you play it.,Ĉi tiu estas la memorludo. Jen kiel vi ludas ĝin.,,Dit is het geheugenspel. Zo speel je het.,
memory-game-instruct1-downex,memory-game,This is a new game.,Este es un juego nuevo.,,,,,Ĉi tio estas nova ludo.,,Dit is een nieuw spel.,
memory-game-instruct10-downex,memory-game,"OK, now you're going to play the rest of the game on your own. There will be more blue squares the longer you play, so watch carefully!","Bueno, ahora vas a jugar el resto del juego vos solo. A medida que juegues, va a haber cada vez más cuadrados azules, así que ¡prestá mucha atención!",,,,"OK, now you're going to play the rest of the game on your own. There will be more blue squares the longer you play, so watch carefully!","Bone, nun vi ludos la reston de la ludo sola. Ju pli longe vi ludos, des pli da bluaj kvadratoj estos, do atente rigardu!",,"Oké, nu ga je de rest van het spel zelf spelen. Er zullen meer blauwe vierkanten verschijnen naarmate je langer speelt, dus let goed op!",
memory-game-instruct11-downex,memory-game,Touch the squares in the backward order.,Tocá los cuadrados en orden inverso.,,,,Touch the squares in the backward order.,Tuŝu la kvadratojn en la inversa ordo.,,Raak de vierkanten in omgekeerde volgorde aan.,
memory-game-instruct2,memory-game,You will see squares light up.,Verás que los cuadrados se iluminan.,,,,You will see squares light up.,Vi vidos kvadratojn lumigi.,,Je zal de vierkanten zien oplichten.,
memory-game-instruct2-downex,memory-game,Look! Here’s a blue square.,¡Mirá! Acá hay un cuadrado azul.,,,,Look! Here’s a blue square.,Rigardu! Jen blua kvadrato.,,Kijk! Hier is een blauw vierkant.,
memory-game-instruct3,memory-game,You're going to choose the squares in the same order.,Vas a elegir los cuadrados en el mismo orden.,,,,You're going to choose the squares in the same order.,Vi iros elekti la kvadratojn en la sama ordo.,,Je gaat de vierkanten in dezelfde volgorde kiezen.,
memory-game-instruct3-downex,memory-game,Let’s make the square blue again.,Hagamos que el cuadrado vuelva a ser azul.,,,,Let’s make the square blue again.,Ni faru la kvadraton denove blua.,,Laten we het vierkant weer blauw maken.,
memory-game-instruct4,memory-game,Watch carefully! Try to remember the order.,¡Observá con atención! Intentá recordar el orden.,,,,Watch carefully! Try to remember the order.,Atentu! Provu memori la ordon.,,Let goed op! Probeer de volgorde te onthouden.,
memory-game-instruct4-downex,memory-game,Let’s watch. Here’s another square.,Veamos. Acá hay otro cuadrado.,,,,Let’s watch. Here’s another square.,Ni observu. Jen alia kvadrato.,,Laten we kijken. Hier is nog een vierkant.,
memory-game-instruct5,memory-game,This time the game won't tell you if you're right or wrong. Let’s start playing the memory game!,Esta vez el juego no te dirá si la respuesta es correcta o no. ¡Empecemos a jugar al juego de memoria!,,,,This time the game won't tell you if you're right or wrong. Let’s start playing the memory game!,Ĉi-foje la ludo ne diros al vi ĉu vi pravas aŭ malpravas. Ni komencu ludi la memorludon!,,Deze keer laat het spel je niet weten of je goed of fout zit. Laten we het geheugenspel spelen!,
memory-game-instruct5-downex,memory-game,Your turn! Can you make the square blue again?,¡Tu turno! ¿Podés hacer que el cuadrado vuelva a ser azul?,,,,Your turn! Can you make the square blue again?,Via vico! Ĉu vi povas fari la kvadraton denove blua?,,Jouw beurt! Kun je het vierkant weer blauw maken?,
memory-game-instruct6,memory-game,Now let's play the memory game backwards!,¡Ahora vamos a jugar al juego de la memoria al revés!,,,,Now let's play the memory game backwards!,Nun ni ludu la memorludon malantaŭen!,,Laten we het geheugenspel nu omgekeerd spelen!,
memory-game-instruct6-downex,memory-game,"Now we will see two blue squares. When it’s your turn, make the squares blue in the same order!","Ahora vamos a ver dos cuadrados azules. Cuando sea tu turno, hacé que los cuadrados sean azules en el mismo orden.",,,,"Now we will see two blue squares. When it’s your turn, make the squares blue in the same order!","Nun ni vidos du bluajn kvadratojn. Kiam estas via vico, faru la kvadratojn bluaj en la sama ordo!",,"Nu zien we twee blauwe vierkanten. Als het jouw beurt is, maak dan de vierkanten in dezelfde volgorde blauw!",
memory-game-instruct7,memory-game,Let’s start playing the memory game!,¡Empecemos a jugar al juego de memoria!,,,,Let’s start playing the memory game!,Ni komencu ludi la memorludon!,,Laten we beginnen met het geheugenspel!,
memory-game-instruct7-downex,memory-game,Let’s watch!,¡Miremos!,,,,Let’s watch!,Ni observu!,,Laten we kijken!,
memory-game-instruct8-downex,memory-game,Touch the squares in the same order.,Tocá los cuadrados en el mismo orden.,,,,Touch the squares in the same order.,Tuŝu la kvadratojn en la sama ordo.,,Raak de vierkanten in dezelfde volgorde aan.,
memory-game-instruct9-downex,memory-game,Your turn! Touch the squares in the same order.,¡Tu turno! Tocá los cuadrados en el mismo orden.,,,,Your turn! Touch the squares in the same order.,Via vico! Tuŝu la kvadratojn en la sama ordo.,,Jouw beurt! Raak de vierkanten in dezelfde volgorde aan.,
mental-rotation-feedback-incorrect-downex,mental-rotation,Oops! This picture doesn’t fit here. Let’s try again! Can you find where the picture fits?,¡Ups! Esta imagen no encaja acá. ¡Intentemos de nuevo! ¿Podés encontrar dónde encaja la imagen?,NO APPROVED TRANSLATION,"Hoppla! Dieses Bild passt hier nicht. Versuchen wir es noch einmal! Findest du heraus, wo das Bild hinpasst?",NO APPROVED TRANSLATION,Oops! This picture doesn’t fit here. Let’s try again! Can you find where the picture fits?,Ho ve! Ĉi tiu bildo ne kongruas ĉi tie. Ni provu denove! Ĉu vi povas trovi kie la bildo kongruas?,NO APPROVED TRANSLATION,Oeps! Dit plaatje past hier niet. Probeer het nog eens! Kun je vinden waar het plaatje past?,
mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,"Jetzt siehst du Bilder, die Blöcke mit drei Seiten zeigen.  Deine Aufgabe ist es, das passende Bild auszuwählen.",NO APPROVED TRANSLATION,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,"Nun vi vidos bildojn, kiuj montras blokojn kun tri flankoj. Via tasko estas elekti la konforman bildon.",NO APPROVED TRANSLATION,Nu zie je plaatjes die blokken met drie zijden tonen. Jouw taak is om het bijpassende plaatje te kiezen.,
mental-rotation-instruct-3D-downex,mental-rotation,Now you are going to see some new blocks! Try to pick the block that matches.,,NO APPROVED TRANSLATION,,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
mental-rotation-instruct-polygon-downex,mental-rotation,Now you are going to see some blocks! Try to pick the block that matches.,,NO APPROVED TRANSLATION,,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
mental-rotation-instruct1,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
mental-rotation-instruct1-part1-downex,mental-rotation,Do you see this picture?,¿Ves esta imagen?,NO APPROVED TRANSLATION,Siehst du dieses Bild?,NO APPROVED TRANSLATION,Do you see this picture?,Ĉu vi vidas ĉi tiun bildon?,NO APPROVED TRANSLATION,Zie je dit plaatje?,
mental-rotation-instruct1-part2-downex,mental-rotation,Let's see where it fits.,Veamos dónde encaja.,NO APPROVED TRANSLATION,"Mal sehen, wo es passt.",NO APPROVED TRANSLATION,Let's see where it fits.,Ni vidu kie ĝi kongruas.,NO APPROVED TRANSLATION,Laten we eens kijken waar het past.,
mental-rotation-instruct2-downex,mental-rotation,Let’s see if this picture fits here.,Veamos si esta imagen encaja acá.,NO APPROVED TRANSLATION,"Mal sehen, ob dieses Bild hierher passt.",NO APPROVED TRANSLATION,Let’s see if this picture fits here.,Ni vidu ĉu ĉi tiu bildo kongruas ĉi tie.,NO APPROVED TRANSLATION,Laten we eens kijken of dit plaatje hier past.,
mental-rotation-instruct3-downex,mental-rotation,This picture doesn’t fit here.,Esta imagen no encaja acá.,NO APPROVED TRANSLATION,Dieses Bild passt hier nicht.,NO APPROVED TRANSLATION,This picture doesn’t fit here.,Ĉi tiu bildo ne kongruas ĉi tie.,NO APPROVED TRANSLATION,Dit plaatje past hier niet.,
mental-rotation-instruct4-downex,mental-rotation,This picture fits here!,¡Esta imagen encaja acá!,NO APPROVED TRANSLATION,Dieses Bild passt hierher!,NO APPROVED TRANSLATION,This picture fits here!,Ĉi tiu bildo kongruas ĉi tie!,NO APPROVED TRANSLATION,Dit plaatje past hier!,
mental-rotation-instruct5-downex,mental-rotation,"OK, now you're going to play the rest of the game on your own. Remember to find where the picture fits. Time to play!","Bueno, ahora vas a jugar el resto del juego vos solo. Acordate de encontrar dónde encaja la imagen. ¡Hora de jugar!",NO APPROVED TRANSLATION,"Okay, jetzt spielst du den Rest des Spiels alleine. Denk daran, die richtige Stelle für das Bild zu finden. Viel Spaß beim Spielen!",NO APPROVED TRANSLATION,"OK, now you're going to play the rest of the game on your own. Remember to find where the picture fits. Time to play!","Bone, nun vi ludos la reston de la ludo memstare. Memoru trovi kie la bildo kongruas. Tempo por ludi!",NO APPROVED TRANSLATION,"Oké, nu ga je de rest van het spel zelf spelen. Vergeet niet te zoeken waar het plaatje past. Tijd om te spelen!",
mental-rotation-instruct6-downex,mental-rotation,Now it’s your turn! You're going to play the rest of the game on your own. Time to play!,¡Ahora es tu turno! Vas a jugar el resto del juego vos solo. ¡A jugar!,NO APPROVED TRANSLATION,Jetzt bist du dran! Du spielst den Rest des Spiels alleine. Los geht's!,NO APPROVED TRANSLATION,Now it’s your turn! You're going to play the rest of the game on your own. Time to play!,Nun estas via vico! Vi ludos la reston de la ludo memstare. Tempo por ludi!,NO APPROVED TRANSLATION,Nu is het jouw beurt! Je gaat de rest van het spel in je eentje spelen. Tijd om te spelen!,
mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Elegí la imagen que coincide.,Escoge la imagen que coincide.,Wähle das passende Bild aus.,NO APPROVED TRANSLATION,Choose the matching picture.,Elektu la konforman bildon.,NO APPROVED TRANSLATION,Kies het bijpassende plaatje.,
mental-rotation-prompt1-downex,mental-rotation,Choose the one that fits.,Elegí el que encaja.,NO APPROVED TRANSLATION,Wähle das passende Bild.,NO APPROVED TRANSLATION,Choose the one that fits.,"Elektu tiun, kiu kongruas.",NO APPROVED TRANSLATION,Kies degene die past.,
mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Elegí la imagen que coincida con esta.,Escoge la imagen que coincida con esta.,"Wähle das Bild aus, das hierzu passt.",NO APPROVED TRANSLATION,Choose the picture that matches this one.,"Elektu la bildon, kiu kongruas kun ĉi tiu.",NO APPROVED TRANSLATION,Kies het plaatje dat hierbij past.,
mental-rotation-prompt2-downex,mental-rotation,Now you try! Can you find where the picture fits?,¡Ahora intentá vos! ¿Podés encontrar dónde encaja la imagen?,NO APPROVED TRANSLATION,"Jetzt bist du dran! Kannst du herausfinden, wo das Bild hinpasst?",NO APPROVED TRANSLATION,Now you try! Can you find where the picture fits?,Nun vi provu! Ĉu vi povas trovi kie la bildo kongruas?,NO APPROVED TRANSLATION,Probeer het nu zelf! Kun je vinden waar het plaatje past?,
mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?,,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?",,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.,,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
missing-number-prompt1,egma-math,What number goes in the blank?,¿Qué número va en el espacio en blanco?,¿Cuál número va en el espacio en blanco?,Welche Zahl gehört in die Lücke?,NO APPROVED TRANSLATION,What number goes in the blank?,Kioma nombro iras en la malplenan lokon?,NO APPROVED TRANSLATION,Welk getal moet er in het lege vlak komen?,Qual número vai no espaço em branco?
missing-number-prompt2,egma-math,What number goes here?,¿Qué número va aquí?,¿Cuál número va aquí?,Welche Zahl gehört hierher?,NO APPROVED TRANSLATION,What number goes here?,Kioma nombro iras ĉi tie?,NO APPROVED TRANSLATION,Welk getal hoort hier?,Qual número vai aqui?
missing-number-prompt3,egma-math,What numbers go in the blanks?,¿Qué números van en los espacios en blanco?,NO APPROVED TRANSLATION,Welche Zahlen gehören in die Lücken?,NO APPROVED TRANSLATION,What numbers go in the blanks?,Kiomaj nombroj iras en la malplenojn?,NO APPROVED TRANSLATION,Welke getallen horen in de lege vlakken?,Quais números vão nos espaços em branco?
multiplication-prompt1,egma-math,Multiply the numbers and choose the correct answer.,Multiplicá los números y elegí la respuesta correcta.,Multiplica los números y escoge la respuesta correcta.,Multipliziere die Zahlen und wähle die richtige Antwort.,NO APPROVED TRANSLATION,Multiply the numbers and choose the correct answer.,Multobligu la nombrojn kaj elektu la ĝustan respondon.,NO APPROVED TRANSLATION,Vermenigvuldig de getallen en kies het juiste antwoord.,Multiplique os números e escolha a resposta correta.
multiplication-prompt2,egma-math,Multiply the numbers.,Multiplicá los números.,Multiplica los números.,Multipliziere die Zahlen.,NO APPROVED TRANSLATION,Multiply the numbers.,Multobligu la nombrojn.,NO APPROVED TRANSLATION,Vermenigvuldig de getallen.,Multiplique os números.
no,theory-of-mind,no,no,no,nein,NO APPROVED TRANSLATION,,ne,NO APPROVED TRANSLATION,nee,
ns-number-comp-1,egma-math,Which card has more apples?,¿Cuál carta tiene más manzanas?,¿Cuál carta tiene más manzanas?,Welche Karte hat mehr Äpfel?,NO APPROVED TRANSLATION,Which card has more apples?,Kiun karton havas pli da pomoj?,NO APPROVED TRANSLATION,Welke kaart heeft meer appels?,Qual carta tem mais maçãs?
ns-number-comp-2,egma-math,Which card has more cars?,¿Cuál carta tiene más autos?,¿Cuál carta tiene más carros?,Welche Karte hat mehr Autos?,NO APPROVED TRANSLATION,Which card has more cars?,Kiun karton havas pli da aŭtoj?,NO APPROVED TRANSLATION,Welke kaart heeft meer auto's?,Qual carta tem mais carros?
ns-number-identification-1,egma-math,Choose the card that shows 1 apple.,Elegí la carta que muestra 1 manzana.,Elige la carta que muestra 1 manzana.,"Wählen Sie die Karte, die 1 Apfel zeigt.",NO APPROVED TRANSLATION,Choose the card that shows 1 apple.,Elektu la karton kiu montras 1 pomon.,NO APPROVED TRANSLATION,Kies de kaart die 1 appel toont.,Escolha a carta que mostra 1 maçã.
ns-number-identification-10,egma-math,Choose the card that shows 10 apples.,Elegí la carta que muestra 10 manzanas.,Elige la carta que muestra 10 manzanas.,"Wählen Sie die Karte, die 10 Äpfel zeigt.",NO APPROVED TRANSLATION,Choose the card that shows 10 apples.,Elektu la karton kiu montras 10 pomojn.,NO APPROVED TRANSLATION,Kies de kaart die 10 appels toont.,Escolha a carta que mostra 10 maçãs.
ns-number-identification-2,egma-math,Choose the card that shows 2 cars.,Elegí la carta que muestra 2 autos.,Elige la carta que muestra 2 carros.,"Wählen Sie die Karte, die 2 Autos zeigt.",NO APPROVED TRANSLATION,Choose the card that shows 2 cars.,Elektu la karton kiu montras 2 aŭtojn.,NO APPROVED TRANSLATION,Kies de kaart die 2 auto's toont.,Escolha a carta que mostra 2 carros.
ns-number-identification-5,egma-math,Choose the card that shows 5 apples.,Elegí la carta que muestra 5 manzanas.,Elige la carta que muestra 5 manzanas.,"Wählen Sie die Karte, die 5 Äpfel zeigt.",NO APPROVED TRANSLATION,Choose the card that shows 5 apples.,Elektu la karton kiu montras 5 pomojn.,NO APPROVED TRANSLATION,Kies de kaart die 5 appels toont.,Escolha a carta que mostra 5 maçãs.
ns-number-identification-7,egma-math,Choose the card that shows 7 cars.,Elegí la carta que muestra 7 autos.,Elige la carta que muestra 7 carros.,"Wählen Sie die Karte, die 7 Autos zeigt.",NO APPROVED TRANSLATION,Choose the card that shows 7 cars.,Elektu la karton kiu montras 7 aŭtojn.,NO APPROVED TRANSLATION,Kies de kaart die 7 auto's toont.,Escolha a carta que mostra 7 carros.
number-comparison-prompt1,egma-math,Which number is larger?,¿Qué número es mayor?,¿Cuál número es mayor?,Welche Zahl ist größer?,NO APPROVED TRANSLATION,Which number is larger?,Kioma nombro estas pli granda?,NO APPROVED TRANSLATION,Welk getal is groter?,Qual número é maior?
number-comparison-prompt2,egma-math,Which is larger?,¿Cuál es mayor?,¿Cuál es mayor?,Welche ist größer?,NO APPROVED TRANSLATION,Which is larger?,Kiu estas pli granda?,NO APPROVED TRANSLATION,Welke is groter?,Qual é maior?
number-identification-1,egma-math,Choose the number 1.,Elegí el número 1.,Escoge el número 1.,Wähle die Zahl Eins.,NO APPROVED TRANSLATION,Choose the number 1.,Elektu la numeron 1.,NO APPROVED TRANSLATION,Kies het getal 1.,Escolha o número 1.
number-identification-10,egma-math,Choose the 23.,Elegí el 23.,Escoge el 23.,Wähle die  Dreiundzwanzig.,NO APPROVED TRANSLATION,Choose the 23.,Elektu la 23.,NO APPROVED TRANSLATION,Kies de 23.,Escolha o 23.
number-identification-11,egma-math,Choose the 48.,Elegí el 48.,Escoge el 48.,Wähle die  Achtundvierzig.,NO APPROVED TRANSLATION,Choose the 48.,Elektu la 48.,NO APPROVED TRANSLATION,Kies de 48.,Escolha o 48.
number-identification-12,egma-math,Choose the 91.,Elegí el 91.,Escoge el 91.,Wähle die  91.,NO APPROVED TRANSLATION,Choose the 91.,Elektu la 91.,NO APPROVED TRANSLATION,Kies de 91.,Escolha o 91.
number-identification-13,egma-math,Choose the 33.,Elegí el 33.,Escoge el 33.,Wähle die  Dreiunddreißig.,NO APPROVED TRANSLATION,Choose the 33.,Elektu la 33.,NO APPROVED TRANSLATION,Kies de 33.,Escolha o 33.
number-identification-14,egma-math,Choose the 74.,Elegí el 74.,Escoge el 74.,Wähle die  Vierundsiebzig.,NO APPROVED TRANSLATION,Choose the 74.,Elektu la 74.,NO APPROVED TRANSLATION,Kies de 74.,Escolha o 74.
